"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","51091","31.13.80.36","172.24.21.152","0","943073824","0","true","false","false","false","32","true","false","8192"
"3","51091","443","172.24.21.152","31.13.80.36","87","1317128092","943073825","true","true","false","false","32","false","true","14100"
"4","443","51091","31.13.80.36","172.24.21.152","87","943073825","1317128093","false","true","false","false","20","true","false","16560"
"7","443","51091","31.13.80.36","172.24.21.152","88","943073825","1317128093","false","true","false","true","20","true","false","16560"
"9","51091","443","172.24.21.152","31.13.80.36","107","1317128093","943074342","false","true","false","false","20","false","true","60"
"10","51091","443","172.24.21.152","31.13.80.36","107","1317128093","943074342","false","true","false","true","20","false","true","60"
"13","443","51091","31.13.80.36","172.24.21.152","108","943074342","1317128245","false","true","false","false","20","true","false","16522"
"14","443","51091","31.13.80.36","172.24.21.152","108","943074393","1317128245","false","true","false","false","20","true","false","16522"
"16","51091","443","172.24.21.152","31.13.80.36","128","1317128245","943074994","false","true","false","false","20","false","true","64"
"18","51091","443","172.24.21.152","31.13.80.36","167","1317128245","943074994","false","true","false","false","20","false","true","64"
"19","51091","443","172.24.21.152","31.13.80.36","167","1317129625","943074994","false","true","false","false","20","false","true","64"
"20","443","51091","31.13.80.36","172.24.21.152","167","943074994","1317129774","false","true","false","false","20","true","false","16560"
"21","51091","443","172.24.21.152","31.13.80.36","169","1317129774","943074994","false","true","false","false","20","false","true","64"
"22","51091","443","172.24.21.152","31.13.80.36","169","1317131154","943074994","false","true","false","false","20","false","true","64"
"23","443","51091","31.13.80.36","172.24.21.152","169","943074994","1317131177","false","true","false","false","20","true","false","16560"
"24","51091","443","172.24.21.152","31.13.80.36","185","1317131177","943074994","false","true","false","false","20","false","true","64"
"25","51091","443","172.24.21.152","31.13.80.36","185","1317132557","943074994","false","true","false","false","20","false","true","64"
"26","443","51091","31.13.80.36","172.24.21.152","185","943074994","1317132706","false","true","false","false","20","true","false","16560"
"27","51091","443","172.24.21.152","31.13.80.36","186","1317132706","943074994","false","true","false","false","20","false","true","64"
"28","51091","443","172.24.21.152","31.13.80.36","186","1317134086","943074994","false","true","false","false","20","false","true","64"
"29","443","51091","31.13.80.36","172.24.21.152","186","943074994","1317135307","false","true","false","false","20","true","false","16560"
"30","51091","443","172.24.21.152","31.13.80.36","186","1317135307","943074994","false","true","false","false","20","false","true","64"
"31","51091","443","172.24.21.152","31.13.80.36","186","1317136687","943074994","false","true","false","false","20","false","true","64"
"32","443","51091","31.13.80.36","172.24.21.152","186","943074994","1317136994","false","true","false","false","20","true","false","16560"
"33","51091","443","172.24.21.152","31.13.80.36","428","1317136994","943074994","false","true","false","false","20","false","true","64"
"34","51091","443","172.24.21.152","31.13.80.36","428","1317138374","943074994","false","true","false","false","20","false","true","64"
"35","443","51091","31.13.80.36","172.24.21.152","428","943074994","1317138523","false","true","false","false","20","true","false","16560"
"36","51091","443","172.24.21.152","31.13.80.36","429","1317138523","943074994","false","true","false","false","20","false","true","64"
"37","51091","443","172.24.21.152","31.13.80.36","432","1317139903","943074994","false","true","false","false","20","false","true","64"
