"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","55118","198.199.94.9","172.24.21.152","0","495353988","0","true","false","false","false","32","true","false","8192"
"13","55118","443","172.24.21.152","198.199.94.9","107","382138029","495353989","true","true","false","false","32","false","true","14600"
"14","443","55118","198.199.94.9","172.24.21.152","107","495353989","382138030","false","true","false","false","20","true","false","16560"
"15","443","55118","198.199.94.9","172.24.21.152","108","495353989","382138030","false","true","false","true","20","true","false","16560"
"30","55118","443","172.24.21.152","198.199.94.9","205","382138030","495354170","false","true","false","false","20","false","true","62"
"32","55118","443","172.24.21.152","198.199.94.9","219","382138030","495354170","false","true","false","true","20","false","true","62"
"33","55118","443","172.24.21.152","198.199.94.9","219","382139410","495354170","false","true","false","false","20","false","true","62"
"34","443","55118","198.199.94.9","172.24.21.152","219","495354170","382140790","false","true","false","false","20","true","false","16560"
"35","55118","443","172.24.21.152","198.199.94.9","219","382140790","495354170","false","true","false","false","20","false","true","62"
"36","55118","443","172.24.21.152","198.199.94.9","219","382142170","495354170","false","true","false","false","20","false","true","62"
"37","443","55118","198.199.94.9","172.24.21.152","219","495354170","382143289","false","true","false","false","20","true","false","16560"
"41","443","55118","198.199.94.9","172.24.21.152","227","495354170","382143289","false","true","false","true","20","true","false","16560"
"67","55118","443","172.24.21.152","198.199.94.9","339","382143289","495354296","false","true","false","true","20","false","true","62"
"79","443","55118","198.199.94.9","172.24.21.152","539","495354296","382143547","false","true","false","false","20","true","false","16495"
"100","55118","443","172.24.21.152","198.199.94.9","3194","382143547","495354296","false","true","false","false","20","false","true","62"
"104","443","55118","198.199.94.9","172.24.21.152","3194","495354296","382143578","false","true","true","false","20","true","false","16487"
"106","443","55118","198.199.94.9","172.24.21.152","3194","495354297","382143579","false","true","false","false","20","true","false","16487"
"108","55118","443","172.24.21.152","198.199.94.9","3271","382143579","495354297","false","true","false","false","20","false","true","62"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","443","55119","198.199.94.9","172.24.21.152","0","3556530468","0","true","false","false","false","32","true","false","8192"
"9","55119","443","172.24.21.152","198.199.94.9","87","3939017156","3556530469","true","true","false","false","32","false","true","14600"
"10","443","55119","198.199.94.9","172.24.21.152","87","3556530469","3939017157","false","true","false","false","20","true","false","16560"
"12","443","55119","198.199.94.9","172.24.21.152","87","3556530469","3939017157","false","true","false","true","20","true","false","16560"
"22","55119","443","172.24.21.152","198.199.94.9","174","3939017157","3556530650","false","true","false","false","20","false","true","62"
"43","55119","443","172.24.21.152","198.199.94.9","244","3939017157","3556530650","false","true","false","true","20","false","true","62"
"44","55119","443","172.24.21.152","198.199.94.9","247","3939018537","3556530650","false","true","false","false","20","false","true","62"
"45","443","55119","198.199.94.9","172.24.21.152","247","3556530650","3939019917","false","true","false","false","20","true","false","16560"
"46","55119","443","172.24.21.152","198.199.94.9","247","3939019917","3556530650","false","true","false","false","20","false","true","62"
"47","55119","443","172.24.21.152","198.199.94.9","247","3939021297","3556530650","false","true","false","false","20","false","true","62"
"48","443","55119","198.199.94.9","172.24.21.152","247","3556530650","3939022416","false","true","false","false","20","true","false","16560"
"49","443","55119","198.199.94.9","172.24.21.152","254","3556530650","3939022416","false","true","false","true","20","true","false","16560"
"59","55119","443","172.24.21.152","198.199.94.9","330","3939022416","3556530776","false","true","false","false","20","false","true","62"
"60","55119","443","172.24.21.152","198.199.94.9","330","3939022416","3556530776","false","true","false","true","20","false","true","62"
"81","443","55119","198.199.94.9","172.24.21.152","547","3556530776","3939022674","false","true","false","false","20","true","false","16495"
"85","55119","443","172.24.21.152","198.199.94.9","623","3939022416","3556530776","false","true","false","true","20","false","true","62"
"86","443","55119","198.199.94.9","172.24.21.152","623","3556530776","3939022674","false","true","false","false","32","true","false","16495"
"94","55119","443","172.24.21.152","198.199.94.9","3097","3939022674","3556530776","false","true","false","false","20","false","true","62"
"95","55119","443","172.24.21.152","198.199.94.9","3097","3939022705","3556530776","false","true","true","false","20","false","true","62"
"96","443","55119","198.199.94.9","172.24.21.152","3098","3556530776","3939022706","false","true","false","false","20","true","false","16487"
"97","443","55119","198.199.94.9","172.24.21.152","3098","3556530776","3939022706","false","true","true","false","20","true","false","16487"
"99","55119","443","172.24.21.152","198.199.94.9","3184","3939022706","3556530777","false","true","false","false","20","false","true","62"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3","443","55120","198.199.94.9","172.24.21.152","0","4246213101","0","true","false","false","false","32","true","false","8192"
"7","55120","443","172.24.21.152","198.199.94.9","87","3162664715","4246213102","true","true","false","false","32","false","true","14600"
"8","443","55120","198.199.94.9","172.24.21.152","87","4246213102","3162664716","false","true","false","false","20","true","false","16560"
"11","443","55120","198.199.94.9","172.24.21.152","87","4246213102","3162664716","false","true","false","true","20","true","false","16560"
"23","55120","443","172.24.21.152","198.199.94.9","177","3162664716","4246213283","false","true","false","false","20","false","true","62"
"24","55120","443","172.24.21.152","198.199.94.9","195","3162664716","4246213283","false","true","false","true","20","false","true","62"
"25","55120","443","172.24.21.152","198.199.94.9","195","3162666096","4246213283","false","true","false","false","20","false","true","62"
"26","443","55120","198.199.94.9","172.24.21.152","195","4246213283","3162667476","false","true","false","false","20","true","false","16560"
"27","55120","443","172.24.21.152","198.199.94.9","198","3162667476","4246213283","false","true","false","false","20","false","true","62"
"28","55120","443","172.24.21.152","198.199.94.9","198","3162668856","4246213283","false","true","false","false","20","false","true","62"
"29","443","55120","198.199.94.9","172.24.21.152","198","4246213283","3162669975","false","true","false","false","20","true","false","16560"
"31","443","55120","198.199.94.9","172.24.21.152","205","4246213283","3162669975","false","true","false","true","20","true","false","16560"
"57","55120","443","172.24.21.152","198.199.94.9","284","3162669975","4246213409","false","true","false","true","20","false","true","62"
"80","443","55120","198.199.94.9","172.24.21.152","547","4246213409","3162670233","false","true","false","false","20","true","false","16495"
"83","55120","443","172.24.21.152","198.199.94.9","607","3162669975","4246213409","false","true","false","true","20","false","true","62"
"84","443","55120","198.199.94.9","172.24.21.152","607","4246213409","3162670233","false","true","false","false","32","true","false","16495"
"90","443","55120","198.199.94.9","172.24.21.152","2757","4246213409","3162670233","false","true","false","false","20","true","false","16495"
"91","55120","443","172.24.21.152","198.199.94.9","2834","3162670233","4246214062","false","true","false","false","20","false","true","67"
"92","443","55120","198.199.94.9","172.24.21.152","2836","4246214062","3162671201","false","true","false","false","20","true","false","16253"
"93","55120","443","172.24.21.152","198.199.94.9","2916","3162671201","4246214715","false","true","false","false","20","false","true","72"
"98","443","55120","198.199.94.9","172.24.21.152","3117","4246214715","3162672169","false","true","false","false","20","true","false","16560"
"120","55120","443","172.24.21.152","198.199.94.9","6923","3162672169","4246214715","false","true","false","false","20","false","true","72"
"121","55120","443","172.24.21.152","198.199.94.9","6923","3162672200","4246214715","false","true","true","false","20","false","true","72"
"122","443","55120","198.199.94.9","172.24.21.152","6923","4246214715","3162672201","false","true","false","false","20","true","false","16552"
"123","443","55120","198.199.94.9","172.24.21.152","6923","4246214715","3162672201","false","true","true","false","20","true","false","16552"
"124","55120","443","172.24.21.152","198.199.94.9","7006","3162672201","4246214716","false","true","false","false","20","false","true","72"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","443","55121","198.199.94.9","172.24.21.152","0","338018889","0","true","false","false","false","32","true","false","8192"
"38","55121","443","172.24.21.152","198.199.94.9","223","2601980914","338018890","true","true","false","false","32","false","true","14600"
"39","443","55121","198.199.94.9","172.24.21.152","223","338018890","2601980915","false","true","false","false","20","true","false","16560"
"42","443","55121","198.199.94.9","172.24.21.152","234","338018890","2601980915","false","true","false","true","20","true","false","16560"
