"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","51762","172.217.5.5","172.24.21.152","0","1531736902","0","true","false","false","false","32","true","false","8192"
"3","51762","443","172.24.21.152","172.217.5.5","16","1679748757","1531736903","true","true","false","false","32","false","true","42900"
"4","443","51762","172.217.5.5","172.24.21.152","16","1531736903","1679748758","false","true","false","false","20","true","false","4140"
"7","443","51762","172.217.5.5","172.24.21.152","20","1531736903","1679748758","false","true","false","true","20","true","false","4140"
"9","51762","443","172.24.21.152","172.217.5.5","34","1679748758","1531737420","false","true","false","false","20","false","true","344"
"12","51762","443","172.24.21.152","172.217.5.5","34","1679748758","1531737420","false","true","false","true","20","false","true","344"
"14","443","51762","172.217.5.5","172.24.21.152","35","1531737420","1679748916","false","true","false","false","20","true","false","4100"
"15","443","51762","172.217.5.5","172.24.21.152","35","1531737471","1679748916","false","true","false","false","20","true","false","4100"
"16","51762","443","172.24.21.152","172.217.5.5","44","1679748916","1531738671","false","true","false","false","20","false","true","363"
"18","51762","443","172.24.21.152","172.217.5.5","100","1679748916","1531738671","false","true","false","false","20","false","true","363"
"19","51762","443","172.24.21.152","172.217.5.5","100","1679749432","1531738671","false","true","false","false","20","false","true","363"
"20","443","51762","172.217.5.5","172.24.21.152","100","1531738671","1679749791","false","true","false","false","20","true","false","3881"
"21","443","51762","172.217.5.5","172.24.21.152","114","1531738671","1679749791","false","true","false","false","20","true","false","3881"
"23","443","51762","172.217.5.5","172.24.21.152","130","1531740027","1679749791","false","true","false","false","32","true","false","3881"
"24","51762","443","172.24.21.152","172.217.5.5","200","1679749791","1531740027","false","true","false","false","20","false","true","384"
"25","51762","443","172.24.21.152","172.217.5.5","935","1679749791","1531740027","false","true","false","false","20","false","true","384"
"26","51762","443","172.24.21.152","172.217.5.5","935","1679751171","1531740027","false","true","false","false","20","false","true","384"
"27","443","51762","172.217.5.5","172.24.21.152","935","1531740027","1679752551","false","true","false","false","20","true","false","4140"
"28","51762","443","172.24.21.152","172.217.5.5","935","1679752551","1531740027","false","true","false","false","20","false","true","384"
"29","51762","443","172.24.21.152","172.217.5.5","936","1679752758","1531740027","false","true","false","false","20","false","true","384"
"30","443","51762","172.217.5.5","172.24.21.152","936","1531740027","1679754138","false","true","false","false","20","true","false","4140"
"31","51762","443","172.24.21.152","172.217.5.5","936","1679754138","1531740027","false","true","false","false","20","false","true","384"
"32","51762","443","172.24.21.152","172.217.5.5","936","1679755518","1531740027","false","true","false","false","20","false","true","384"
"33","443","51762","172.217.5.5","172.24.21.152","936","1531740027","1679756898","false","true","false","false","20","true","false","4140"
"34","51762","443","172.24.21.152","172.217.5.5","936","1679756898","1531740027","false","true","false","false","20","false","true","384"
"35","51762","443","172.24.21.152","172.217.5.5","936","1679758278","1531740027","false","true","false","false","20","false","true","384"
"36","443","51762","172.217.5.5","172.24.21.152","936","1531740027","1679759658","false","true","false","false","20","true","false","4140"
"37","51762","443","172.24.21.152","172.217.5.5","948","1679759658","1531740027","false","true","false","false","20","false","true","384"
"38","51762","443","172.24.21.152","172.217.5.5","948","1679761038","1531740027","false","true","false","false","20","false","true","384"
"39","443","51762","172.217.5.5","172.24.21.152","948","1531740027","1679761371","false","true","false","false","20","true","false","4140"
"40","51762","443","172.24.21.152","172.217.5.5","952","1679761371","1531740027","false","true","false","false","20","false","true","384"
"41","51762","443","172.24.21.152","172.217.5.5","952","1679762751","1531740027","false","true","false","false","20","false","true","384"
"42","443","51762","172.217.5.5","172.24.21.152","952","1531740027","1679764131","false","true","false","false","20","true","false","4140"
"43","51762","443","172.24.21.152","172.217.5.5","953","1679764131","1531740027","false","true","false","false","20","false","true","384"
"44","51762","443","172.24.21.152","172.217.5.5","953","1679765511","1531740027","false","true","false","false","20","false","true","384"
"45","443","51762","172.217.5.5","172.24.21.152","953","1531740027","1679766891","false","true","false","false","20","true","false","4140"
"46","51762","443","172.24.21.152","172.217.5.5","953","1679766891","1531740027","false","true","false","false","20","false","true","384"
"47","51762","443","172.24.21.152","172.217.5.5","953","1679768271","1531740027","false","true","false","false","20","false","true","384"
"48","443","51762","172.217.5.5","172.24.21.152","953","1531740027","1679769651","false","true","false","false","20","true","false","4140"
"49","51762","443","172.24.21.152","172.217.5.5","953","1679769651","1531740027","false","true","false","false","20","false","true","384"
"50","51762","443","172.24.21.152","172.217.5.5","953","1679771031","1531740027","false","true","false","false","20","false","true","384"
"51","443","51762","172.217.5.5","172.24.21.152","953","1531740027","1679772411","false","true","false","false","20","true","false","4140"
"52","51762","443","172.24.21.152","172.217.5.5","953","1679772411","1531740027","false","true","false","false","20","false","true","384"
"53","51762","443","172.24.21.152","172.217.5.5","953","1679773791","1531740027","false","true","false","false","20","false","true","384"
"54","443","51762","172.217.5.5","172.24.21.152","953","1531740027","1679775171","false","true","false","false","20","true","false","4140"
"55","51762","443","172.24.21.152","172.217.5.5","970","1679775171","1531740027","false","true","false","false","20","false","true","384"
"56","51762","443","172.24.21.152","172.217.5.5","970","1679776551","1531740027","false","true","false","false","20","false","true","384"
"57","443","51762","172.217.5.5","172.24.21.152","970","1531740027","1679777931","false","true","false","false","20","true","false","4140"
"58","51762","443","172.24.21.152","172.217.5.5","974","1679777931","1531740027","false","true","false","false","20","false","true","384"
"59","51762","443","172.24.21.152","172.217.5.5","974","1679779311","1531740027","false","true","false","false","20","false","true","384"
"60","443","51762","172.217.5.5","172.24.21.152","974","1531740027","1679780691","false","true","false","false","20","true","false","21045"
"61","51762","443","172.24.21.152","172.217.5.5","974","1679780691","1531740027","false","true","false","false","20","false","true","384"
"62","51762","443","172.24.21.152","172.217.5.5","974","1679782071","1531740027","false","true","false","false","20","false","true","384"
"63","443","51762","172.217.5.5","172.24.21.152","974","1531740027","1679783451","false","true","false","false","20","true","false","21045"
"64","51762","443","172.24.21.152","172.217.5.5","974","1679783451","1531740027","false","true","false","false","20","false","true","384"
"65","51762","443","172.24.21.152","172.217.5.5","974","1679784831","1531740027","false","true","false","false","20","false","true","384"
"66","443","51762","172.217.5.5","172.24.21.152","974","1531740027","1679786211","false","true","false","false","20","true","false","21045"
"67","51762","443","172.24.21.152","172.217.5.5","974","1679786211","1531740027","false","true","false","false","20","false","true","384"
"68","51762","443","172.24.21.152","172.217.5.5","974","1679787591","1531740027","false","true","false","false","20","false","true","384"
"69","443","51762","172.217.5.5","172.24.21.152","974","1531740027","1679788971","false","true","false","false","20","true","false","21045"
"70","51762","443","172.24.21.152","172.217.5.5","974","1679788971","1531740027","false","true","false","false","20","false","true","384"
"71","51762","443","172.24.21.152","172.217.5.5","974","1679790351","1531740027","false","true","false","false","20","false","true","384"
"72","443","51762","172.217.5.5","172.24.21.152","974","1531740027","1679791731","false","true","false","false","20","true","false","21045"
"73","51762","443","172.24.21.152","172.217.5.5","998","1679791731","1531740027","false","true","false","false","20","false","true","384"
"74","51762","443","172.24.21.152","172.217.5.5","998","1679793111","1531740027","false","true","false","false","20","false","true","384"
"75","443","51762","172.217.5.5","172.24.21.152","998","1531740027","1679794491","false","true","false","false","20","true","false","44850"
"76","51762","443","172.24.21.152","172.217.5.5","998","1679794491","1531740027","false","true","false","false","20","false","true","384"
"77","51762","443","172.24.21.152","172.217.5.5","998","1679795871","1531740027","false","true","false","false","20","false","true","384"
"78","443","51762","172.217.5.5","172.24.21.152","998","1531740027","1679797251","false","true","false","false","20","true","false","44850"
"79","51762","443","172.24.21.152","172.217.5.5","998","1679797251","1531740027","false","true","false","false","20","false","true","384"
