"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","80","51056","172.217.5.4","172.24.21.152","0","3490925763","0","true","false","false","false","32","true","false","8192"
"2","51056","80","172.24.21.152","172.217.5.4","5","2469881899","3490925764","true","true","false","false","32","false","true","42900"
"3","80","51056","172.217.5.4","172.24.21.152","5","3490925764","2469881900","false","true","false","false","20","true","false","16560"
"4","80","51056","172.217.5.4","172.24.21.152","5","3490925764","2469881900","false","true","false","false","20","true","false","16560"
"5","51056","80","172.24.21.152","172.217.5.4","11","2469881900","3490926703","false","true","false","false","20","false","true","350"
"6","51056","80","172.24.21.152","172.217.5.4","35","2469881900","3490926703","false","true","false","false","20","false","true","350"
"25","80","51056","172.217.5.4","172.24.21.152","234","3490926703","2469882396","false","true","false","false","20","true","false","16436"
"42","51056","80","172.24.21.152","172.217.5.4","249","2469881900","3490926703","false","true","false","false","20","false","true","350"
"43","80","51056","172.217.5.4","172.24.21.152","249","3490926703","2469882396","false","true","false","false","32","true","false","16436"
"101","51056","80","172.24.21.152","172.217.5.4","13134","2469882396","3490926703","false","true","false","false","32","false","true","350"
"105","51056","80","172.24.21.152","172.217.5.4","23171","2469882396","3490926703","false","true","false","false","32","false","true","350"
"109","51056","80","172.24.21.152","172.217.5.4","33207","2469882396","3490926703","false","true","false","false","32","false","true","350"
"112","51056","80","172.24.21.152","172.217.5.4","43447","2469882396","3490926703","false","true","false","false","32","false","true","350"
"116","51056","80","172.24.21.152","172.217.5.4","53685","2469882396","3490926703","false","true","false","false","32","false","true","350"
"120","51056","80","172.24.21.152","172.217.5.4","63925","2469882396","3490926703","false","true","false","false","32","false","true","350"
"124","51056","80","172.24.21.152","172.217.5.4","74165","2469882396","3490926703","false","true","false","false","32","false","true","350"
"129","51056","80","172.24.21.152","172.217.5.4","84405","2469882396","3490926703","false","true","false","false","32","false","true","350"
"133","51056","80","172.24.21.152","172.217.5.4","94646","2469882396","3490926703","false","true","false","false","32","false","true","350"
"137","51056","80","172.24.21.152","172.217.5.4","104887","2469882396","3490926703","false","true","false","false","32","false","true","350"
"141","51056","80","172.24.21.152","172.217.5.4","115126","2469882396","3490926703","false","true","false","false","32","false","true","350"
"142","80","51056","172.217.5.4","172.24.21.152","115408","3490926703","2469882396","false","true","true","false","20","true","false","16436"
"143","51056","80","172.24.21.152","172.217.5.4","115432","2469882396","3490926704","false","true","true","false","20","false","true","350"
"144","80","51056","172.217.5.4","172.24.21.152","115432","3490926704","2469882397","false","true","false","false","20","true","false","16436"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","443","51058","172.217.5.4","172.24.21.152","42","279360882","0","true","false","false","false","32","true","false","8192"
"8","51058","443","172.24.21.152","172.217.5.4","48","14449435","279360883","true","true","false","false","32","false","true","42900"
"9","443","51058","172.217.5.4","172.24.21.152","48","279360883","14449436","false","true","false","false","20","true","false","16560"
"10","443","51058","172.217.5.4","172.24.21.152","49","279360883","14449436","false","true","false","true","20","true","false","16560"
"11","51058","443","172.24.21.152","172.217.5.4","57","14449436","279361059","false","true","false","false","20","false","true","344"
"12","51058","443","172.24.21.152","172.217.5.4","57","14449436","279361059","false","true","false","true","20","false","true","344"
"13","51058","443","172.24.21.152","172.217.5.4","57","14450816","279361059","false","true","false","false","20","false","true","344"
"14","443","51058","172.217.5.4","172.24.21.152","57","279361059","14452196","false","true","false","false","20","true","false","16560"
"15","51058","443","172.24.21.152","172.217.5.4","60","14452196","279361059","false","true","false","false","20","false","true","344"
