"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","54448","172.217.4.196","172.24.21.152","0","3685593687","0","true","false","false","false","32","true","false","8192"
"2","54448","443","172.24.21.152","172.217.4.196","7","338332615","3685593688","true","true","false","false","32","false","true","42900"
"3","443","54448","172.217.4.196","172.24.21.152","7","3685593688","338332616","false","true","false","false","20","true","false","4140"
"4","443","54448","172.217.4.196","172.24.21.152","7","3685593688","338332616","false","true","false","true","20","true","false","4140"
"5","54448","443","172.24.21.152","172.217.4.196","14","338332616","3685593864","false","true","false","false","20","false","true","344"
"6","54448","443","172.24.21.152","172.217.4.196","17","338332616","3685593864","false","true","false","true","20","false","true","344"
"7","54448","443","172.24.21.152","172.217.4.196","17","338333996","3685593864","false","true","false","false","20","false","true","344"
"8","443","54448","172.217.4.196","172.24.21.152","17","3685593864","338335376","false","true","false","false","20","true","false","4140"
"9","54448","443","172.24.21.152","172.217.4.196","17","338335376","3685593864","false","true","false","false","20","false","true","344"
"10","443","54448","172.217.4.196","172.24.21.152","26","3685593864","338336132","false","true","false","true","20","true","false","3951"
"11","443","54448","172.217.4.196","172.24.21.152","26","3685593990","338336132","false","true","false","false","20","true","false","3951"
"12","54448","443","172.24.21.152","172.217.4.196","35","338336132","3685594907","false","true","false","false","20","false","true","358"
"13","54448","443","172.24.21.152","172.217.4.196","35","338336132","3685594907","false","true","false","true","20","false","true","358"
"14","54448","443","172.24.21.152","172.217.4.196","141","338336378","3685594907","false","true","false","false","20","false","true","358"
"15","443","54448","172.217.4.196","172.24.21.152","141","3685594907","338337758","false","true","false","false","20","true","false","4140"
"16","54448","443","172.24.21.152","172.217.4.196","141","338337758","3685594907","false","true","false","false","20","false","true","358"
"17","54448","443","172.24.21.152","172.217.4.196","141","338339138","3685594907","false","true","false","false","20","false","true","358"
"18","443","54448","172.217.4.196","172.24.21.152","141","3685594907","338340518","false","true","false","false","20","true","false","4140"
"19","54448","443","172.24.21.152","172.217.4.196","141","338340518","3685594907","false","true","false","false","20","false","true","358"
"20","54448","443","172.24.21.152","172.217.4.196","141","338341898","3685594907","false","true","false","false","20","false","true","358"
"21","443","54448","172.217.4.196","172.24.21.152","141","3685594907","338343278","false","true","false","false","20","true","false","4140"
"22","54448","443","172.24.21.152","172.217.4.196","142","338343278","3685594907","false","true","false","false","20","false","true","358"
"23","54448","443","172.24.21.152","172.217.4.196","142","338344658","3685594907","false","true","false","false","20","false","true","358"
"24","443","54448","172.217.4.196","172.24.21.152","142","3685594907","338346038","false","true","false","false","20","true","false","3795"
"25","54448","443","172.24.21.152","172.217.4.196","142","338346038","3685594907","false","true","false","false","20","false","true","358"
"26","443","54448","172.217.4.196","172.24.21.152","142","3685594907","338347418","false","true","false","false","20","true","false","4140"
"27","54448","443","172.24.21.152","172.217.4.196","148","338347418","3685594907","false","true","false","false","20","false","true","358"
"28","54448","443","172.24.21.152","172.217.4.196","148","338348798","3685594907","false","true","false","false","20","false","true","358"
"29","443","54448","172.217.4.196","172.24.21.152","148","3685594907","338350178","false","true","false","false","20","true","false","4140"
"30","54448","443","172.24.21.152","172.217.4.196","148","338350178","3685594907","false","true","false","false","20","false","true","358"
"31","54448","443","172.24.21.152","172.217.4.196","148","338351558","3685594907","false","true","false","false","20","false","true","358"
"32","443","54448","172.217.4.196","172.24.21.152","148","3685594907","338352938","false","true","false","false","20","true","false","4140"
"33","54448","443","172.24.21.152","172.217.4.196","148","338352938","3685594907","false","true","false","false","20","false","true","358"
"34","54448","443","172.24.21.152","172.217.4.196","148","338354318","3685594907","false","true","false","false","20","false","true","358"
"35","443","54448","172.217.4.196","172.24.21.152","148","3685594907","338355698","false","true","false","false","20","true","false","4140"
"36","54448","443","172.24.21.152","172.217.4.196","148","338355698","3685594907","false","true","false","false","20","false","true","358"
"37","54448","443","172.24.21.152","172.217.4.196","149","338357078","3685594907","false","true","false","false","20","false","true","358"
"38","443","54448","172.217.4.196","172.24.21.152","149","3685594907","338358458","false","true","false","false","20","true","false","3450"
"39","54448","443","172.24.21.152","172.217.4.196","149","338358458","3685594907","false","true","false","false","20","false","true","358"
"40","54448","443","172.24.21.152","172.217.4.196","149","338359838","3685594907","false","true","false","false","20","false","true","358"
"41","443","54448","172.217.4.196","172.24.21.152","150","3685594907","338361218","false","true","false","false","20","true","false","2760"
"42","54448","443","172.24.21.152","172.217.4.196","150","338361218","3685594907","false","true","false","false","20","false","true","358"
"43","54448","443","172.24.21.152","172.217.4.196","150","338362598","3685594907","false","true","false","false","20","false","true","358"
"44","443","54448","172.217.4.196","172.24.21.152","150","3685594907","338363978","false","true","false","false","20","true","false","2070"
"45","443","54448","172.217.4.196","172.24.21.152","150","3685594907","338363978","false","true","false","false","20","true","false","2938"
"46","443","54448","172.217.4.196","172.24.21.152","150","3685594907","338363978","false","true","false","false","20","true","false","4140"
"47","54448","443","172.24.21.152","172.217.4.196","156","338363978","3685594907","false","true","false","false","20","false","true","358"
"48","54448","443","172.24.21.152","172.217.4.196","156","338365358","3685594907","false","true","false","false","20","false","true","358"
"49","443","54448","172.217.4.196","172.24.21.152","156","3685594907","338366738","false","true","false","false","20","true","false","4140"
