"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","80","51539","108.174.10.10","172.24.21.152","0","2639726674","0","true","false","false","false","32","true","false","8192"
"2","51539","80","172.24.21.152","108.174.10.10","15","3317536735","2639726675","true","true","false","false","32","false","true","64240"
"3","80","51539","108.174.10.10","172.24.21.152","17","2639726675","3317536736","false","true","false","false","20","true","false","16560"
"157","80","51539","108.174.10.10","172.24.21.152","5016","2639726675","3317536736","false","true","true","false","20","true","false","16560"
"158","51539","80","172.24.21.152","108.174.10.10","5029","3317536736","2639726676","false","true","true","false","20","false","true","16"
"159","80","51539","108.174.10.10","172.24.21.152","5029","2639726676","3317536737","false","true","false","false","20","true","false","16560"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","443","51540","108.174.10.10","172.24.21.152","29","2871665360","0","true","false","false","false","32","true","false","8192"
"5","51540","443","172.24.21.152","108.174.10.10","43","1764608258","2871665361","true","true","false","false","32","false","true","64240"
"6","443","51540","108.174.10.10","172.24.21.152","43","2871665361","1764608259","false","true","false","false","20","true","false","16560"
"7","443","51540","108.174.10.10","172.24.21.152","43","2871665361","1764608259","false","true","false","true","20","true","false","16560"
"8","51540","443","172.24.21.152","108.174.10.10","58","1764608259","2871665539","false","true","false","false","20","false","true","16"
"9","51540","443","172.24.21.152","108.174.10.10","62","1764608259","2871665539","false","true","false","true","20","false","true","16"
"10","51540","443","172.24.21.152","108.174.10.10","62","1764609639","2871665539","false","true","false","false","20","false","true","16"
"11","443","51540","108.174.10.10","172.24.21.152","62","2871665539","1764611019","false","true","false","false","20","true","false","16560"
"12","51540","443","172.24.21.152","108.174.10.10","62","1764611019","2871665539","false","true","false","false","20","false","true","16"
"13","443","51540","108.174.10.10","172.24.21.152","71","2871665539","1764611237","false","true","false","true","20","true","false","16505"
"14","51540","443","172.24.21.152","108.174.10.10","100","1764611237","2871665665","false","true","false","false","20","false","true","16"
"15","443","51540","108.174.10.10","172.24.21.152","111","2871665665","1764611288","false","true","false","false","20","true","false","16492"
"16","51540","443","172.24.21.152","108.174.10.10","164","1764611288","2871667003","false","true","false","false","20","false","true","16"
"17","51540","443","172.24.21.152","108.174.10.10","1755","1764611288","2871667003","false","true","false","false","20","false","true","16"
"18","51540","443","172.24.21.152","108.174.10.10","1764","1764612602","2871667003","false","true","false","false","20","false","true","16"
"19","443","51540","108.174.10.10","172.24.21.152","1764","2871667003","1764613982","false","true","false","false","20","true","false","16560"
"20","51540","443","172.24.21.152","108.174.10.10","1764","1764613982","2871667003","false","true","false","false","20","false","true","16"
"21","51540","443","172.24.21.152","108.174.10.10","1835","1764615215","2871667003","false","true","false","false","20","false","true","16"
"22","443","51540","108.174.10.10","172.24.21.152","1835","2871667003","1764615500","false","true","false","false","20","true","false","16560"
"23","51540","443","172.24.21.152","108.174.10.10","1835","1764615500","2871667003","false","true","false","false","20","false","true","16"
"24","51540","443","172.24.21.152","108.174.10.10","1835","1764616721","2871667003","false","true","false","false","20","false","true","16"
"25","443","51540","108.174.10.10","172.24.21.152","1835","2871667003","1764618101","false","true","false","false","20","true","false","16560"
"26","51540","443","172.24.21.152","108.174.10.10","1835","1764618101","2871667003","false","true","false","false","20","false","true","16"
"27","51540","443","172.24.21.152","108.174.10.10","1835","1764619481","2871667003","false","true","false","false","20","false","true","16"
"28","443","51540","108.174.10.10","172.24.21.152","1835","2871667003","1764620861","false","true","false","false","20","true","false","16560"
"29","51540","443","172.24.21.152","108.174.10.10","1835","1764620861","2871667003","false","true","false","false","20","false","true","16"
"30","51540","443","172.24.21.152","108.174.10.10","1835","1764622241","2871667003","false","true","false","false","20","false","true","16"
"31","443","51540","108.174.10.10","172.24.21.152","1835","2871667003","1764623621","false","true","false","false","20","true","false","16560"
"32","51540","443","172.24.21.152","108.174.10.10","1835","1764623621","2871667003","false","true","false","false","20","false","true","16"
"33","51540","443","172.24.21.152","108.174.10.10","1835","1764625001","2871667003","false","true","false","false","20","false","true","16"
"34","443","51540","108.174.10.10","172.24.21.152","1835","2871667003","1764626381","false","true","false","false","20","true","false","16560"
"35","51540","443","172.24.21.152","108.174.10.10","1854","1764626381","2871667003","false","true","false","false","20","false","true","16"
"36","51540","443","172.24.21.152","108.174.10.10","1854","1764627761","2871667003","false","true","false","false","20","false","true","16"
"37","443","51540","108.174.10.10","172.24.21.152","1854","2871667003","1764629141","false","true","false","false","20","true","false","16560"
"38","51540","443","172.24.21.152","108.174.10.10","1854","1764629141","2871667003","false","true","false","false","20","false","true","16"
"39","51540","443","172.24.21.152","108.174.10.10","1854","1764630521","2871667003","false","true","false","false","20","false","true","16"
"40","443","51540","108.174.10.10","172.24.21.152","1854","2871667003","1764631901","false","true","false","false","20","true","false","16560"
"41","51540","443","172.24.21.152","108.174.10.10","1854","1764631901","2871667003","false","true","false","false","20","false","true","16"
"42","51540","443","172.24.21.152","108.174.10.10","1854","1764633281","2871667003","false","true","false","false","20","false","true","16"
"43","443","51540","108.174.10.10","172.24.21.152","1854","2871667003","1764634661","false","true","false","false","20","true","false","16560"
"44","51540","443","172.24.21.152","108.174.10.10","1854","1764634661","2871667003","false","true","false","false","20","false","true","16"
"45","51540","443","172.24.21.152","108.174.10.10","1854","1764636041","2871667003","false","true","false","false","20","false","true","16"
"46","443","51540","108.174.10.10","172.24.21.152","1854","2871667003","1764637421","false","true","false","false","20","true","false","16560"
"47","51540","443","172.24.21.152","108.174.10.10","1854","1764637421","2871667003","false","true","false","false","20","false","true","16"
"48","51540","443","172.24.21.152","108.174.10.10","1854","1764638801","2871667003","false","true","false","false","20","false","true","16"
"49","443","51540","108.174.10.10","172.24.21.152","1854","2871667003","1764640181","false","true","false","false","20","true","false","16560"
"50","51540","443","172.24.21.152","108.174.10.10","1854","1764640181","2871667003","false","true","false","false","20","false","true","16"
"51","51540","443","172.24.21.152","108.174.10.10","1854","1764641561","2871667003","false","true","false","false","20","false","true","16"
