"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","58183","172.217.4.206","172.24.17.216","0","4030224115","0","true","false","false","false","32","true","false","8192"
"3","58183","443","172.24.17.216","172.217.4.206","298","1128843160","4030224116","true","true","false","false","32","false","true","42900"
"4","443","58183","172.217.4.206","172.24.17.216","298","4030224116","1128843161","false","true","false","false","20","true","false","16560"
"7","443","58183","172.217.4.206","172.24.17.216","299","4030224116","1128843161","false","true","false","true","20","true","false","16560"
"9","58183","443","172.24.17.216","172.217.4.206","327","1128843161","4030224293","false","true","false","false","20","false","true","344"
"10","58183","443","172.24.17.216","172.217.4.206","404","1128843161","4030224293","false","true","false","true","20","false","true","344"
"11","58183","443","172.24.17.216","172.217.4.206","404","1128844541","4030224293","false","true","false","false","20","false","true","344"
"12","443","58183","172.217.4.206","172.24.17.216","404","4030224293","1128845921","false","true","false","false","20","true","false","16560"
"13","58183","443","172.24.17.216","172.217.4.206","405","1128845921","4030224293","false","true","false","false","20","false","true","344"
"21","443","58183","172.217.4.206","172.24.17.216","440","4030224293","1128847124","false","true","false","true","20","true","false","16259"
"22","443","58183","172.217.4.206","172.24.17.216","441","4030224419","1128847124","false","true","false","false","20","true","false","16259"
"23","443","58183","172.217.4.206","172.24.17.216","441","4030225799","1128847124","false","true","false","false","20","true","false","16259"
"26","58183","443","172.24.17.216","172.217.4.206","527","1128847124","4030226129","false","true","false","true","20","false","true","387"
"28","58183","443","172.24.17.216","172.217.4.206","528","1128847370","4030226129","false","true","false","false","20","false","true","387"
"29","443","58183","172.217.4.206","172.24.17.216","528","4030226129","1128848038","false","true","false","false","20","true","false","16560"
"74","58183","443","172.24.17.216","172.217.4.206","11767","1128848038","4030226129","false","true","false","false","32","false","true","387"
"78","58183","443","172.24.17.216","172.217.4.206","22007","1128848038","4030226129","false","true","false","false","32","false","true","387"
"82","58183","443","172.24.17.216","172.217.4.206","32246","1128848038","4030226129","false","true","false","false","32","false","true","387"
"86","58183","443","172.24.17.216","172.217.4.206","42486","1128848038","4030226129","false","true","false","false","32","false","true","387"
"90","58183","443","172.24.17.216","172.217.4.206","52726","1128848038","4030226129","false","true","false","false","32","false","true","387"
"94","58183","443","172.24.17.216","172.217.4.206","62966","1128848038","4030226129","false","true","false","false","32","false","true","387"
"98","58183","443","172.24.17.216","172.217.4.206","73002","1128848038","4030226129","false","true","false","false","32","false","true","387"
"102","58183","443","172.24.17.216","172.217.4.206","83241","1128848038","4030226129","false","true","false","false","32","false","true","387"
"106","58183","443","172.24.17.216","172.217.4.206","93481","1128848038","4030226129","false","true","false","false","32","false","true","387"
"110","58183","443","172.24.17.216","172.217.4.206","103720","1128848038","4030226129","false","true","false","false","32","false","true","387"
"114","58183","443","172.24.17.216","172.217.4.206","113960","1128848038","4030226129","false","true","false","false","32","false","true","387"
"115","443","58183","172.217.4.206","172.24.17.216","116475","4030226129","1128848038","false","true","false","false","20","true","false","16560"
"116","443","58183","172.217.4.206","172.24.17.216","116475","4030226160","1128848038","false","true","true","false","20","true","false","16560"
"118","58183","443","172.24.17.216","172.217.4.206","116623","1128848038","4030226161","false","true","true","false","20","false","true","387"
"119","443","58183","172.217.4.206","172.24.17.216","116623","4030226161","1128848039","false","true","false","false","20","true","false","16560"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","443","58184","172.217.4.206","172.24.17.216","251","2928072406","0","true","false","false","false","32","true","false","8192"
"5","58184","443","172.24.17.216","172.217.4.206","298","262457991","2928072407","true","true","false","false","32","false","true","42900"
"6","443","58184","172.217.4.206","172.24.17.216","299","2928072407","262457992","false","true","false","false","20","true","false","16560"
