"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","51632","199.16.156.102","172.24.21.152","0","3711794309","0","true","false","false","false","32","true","false","8192"
"2","51632","443","172.24.21.152","199.16.156.102","24","3718574388","3711794310","true","true","false","false","32","false","true","29200"
"3","443","51632","199.16.156.102","172.24.21.152","24","3711794310","3718574389","false","true","false","false","20","true","false","16560"
"4","443","51632","199.16.156.102","172.24.21.152","24","3711794310","3718574389","false","true","false","true","20","true","false","16560"
"5","51632","443","172.24.21.152","199.16.156.102","48","3718574389","3711794483","false","true","false","false","20","false","true","119"
"6","51632","443","172.24.21.152","199.16.156.102","51","3718574389","3711794483","false","true","false","true","20","false","true","119"
"7","51632","443","172.24.21.152","199.16.156.102","51","3718575769","3711794483","false","true","false","false","20","false","true","119"
"8","443","51632","199.16.156.102","172.24.21.152","51","3711794483","3718577149","false","true","false","false","20","true","false","16560"
"9","51632","443","172.24.21.152","199.16.156.102","52","3718577149","3711794483","false","true","false","false","20","false","true","119"
"10","443","51632","199.16.156.102","172.24.21.152","65","3711794483","3718577998","false","true","false","true","20","true","false","16347"
"11","443","51632","199.16.156.102","172.24.21.152","67","3711794609","3718577998","false","true","false","false","20","true","false","16347"
"13","51632","443","172.24.21.152","199.16.156.102","131","3718578240","3711795037","false","true","false","false","20","false","true","123"
"14","443","51632","199.16.156.102","172.24.21.152","300","3711795037","3718578240","false","true","false","false","20","true","false","16287"
"15","51632","443","172.24.21.152","199.16.156.102","315","3718577998","3711795037","false","true","false","true","20","false","true","123"
"16","443","51632","199.16.156.102","172.24.21.152","315","3711795037","3718578240","false","true","false","false","32","true","false","16287"
"17","51632","443","172.24.21.152","199.16.156.102","318","3718578240","3711795037","false","true","false","false","20","false","true","123"
"18","51632","443","172.24.21.152","199.16.156.102","318","3718579620","3711795037","false","true","false","false","20","false","true","123"
"19","443","51632","199.16.156.102","172.24.21.152","318","3711795037","3718581000","false","true","false","false","20","true","false","16560"
"20","51632","443","172.24.21.152","199.16.156.102","318","3718581000","3711795037","false","true","false","false","20","false","true","123"
"21","51632","443","172.24.21.152","199.16.156.102","318","3718581594","3711795037","false","true","false","false","20","false","true","123"
"22","443","51632","199.16.156.102","172.24.21.152","318","3711795037","3718582974","false","true","false","false","20","true","false","16560"
"23","51632","443","172.24.21.152","199.16.156.102","319","3718582974","3711795037","false","true","false","false","20","false","true","123"
"24","51632","443","172.24.21.152","199.16.156.102","319","3718584354","3711795037","false","true","false","false","20","false","true","123"
"25","443","51632","199.16.156.102","172.24.21.152","319","3711795037","3718585541","false","true","false","false","20","true","false","16560"
