"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","80","51673","208.80.154.224","172.24.21.152","0","3069528443","0","true","false","false","false","32","true","false","8192"
"2","51673","80","172.24.21.152","208.80.154.224","12","3583010166","3069528444","true","true","false","false","32","false","true","29200"
"3","80","51673","208.80.154.224","172.24.21.152","12","3069528444","3583010167","false","true","false","false","20","true","false","16560"
"4","80","51673","208.80.154.224","172.24.21.152","12","3069528444","3583010167","false","true","false","false","20","true","false","16560"
"5","51673","80","172.24.21.152","208.80.154.224","24","3583010167","3069528731","false","true","false","false","20","false","true","60"
"6","51673","80","172.24.21.152","208.80.154.224","27","3583010167","3069528731","false","true","false","false","20","false","true","60"
"44","80","51673","208.80.154.224","172.24.21.152","234","3069528731","3583011162","false","true","false","false","20","true","false","16311"
"45","51673","80","172.24.21.152","208.80.154.224","237","3583010167","3069528731","false","true","false","false","20","false","true","60"
"46","80","51673","208.80.154.224","172.24.21.152","237","3069528731","3583011162","false","true","false","false","32","true","false","16311"
"152","51673","80","172.24.21.152","208.80.154.224","5038","3583011162","3069528731","false","true","true","false","20","false","true","60"
"153","80","51673","208.80.154.224","172.24.21.152","5038","3069528731","3583011163","false","true","false","false","20","true","false","16311"
"154","80","51673","208.80.154.224","172.24.21.152","5038","3069528731","3583011163","false","true","true","false","20","true","false","16311"
"155","51673","80","172.24.21.152","208.80.154.224","5050","3583011163","3069528732","false","true","false","false","20","false","true","60"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","443","51674","208.80.154.224","172.24.21.152","124","1451923465","0","true","false","false","false","32","true","false","8192"
"8","51674","443","172.24.21.152","208.80.154.224","138","1557732824","1451923466","true","true","false","false","32","false","true","29200"
"9","443","51674","208.80.154.224","172.24.21.152","138","1451923466","1557732825","false","true","false","false","20","true","false","16560"
"10","443","51674","208.80.154.224","172.24.21.152","138","1451923466","1557732825","false","true","false","true","20","true","false","16560"
"11","51674","443","172.24.21.152","208.80.154.224","150","1557732825","1451923645","false","true","false","false","20","false","true","60"
