"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","51999","172.217.5.14","172.24.21.152","0","1805410788","1909911104","false","true","false","false","20","true","false","4140"
"150","443","51999","172.217.5.14","172.24.21.152","10001","1805410788","1909911104","false","true","false","false","20","true","false","4140"
"222","443","51999","172.217.5.14","172.24.21.152","20168","1805410788","1909911104","false","true","false","false","20","true","false","4140"
"258","443","51999","172.217.5.14","172.24.21.152","30413","1805410788","1909911104","false","true","false","false","20","true","false","4140"
"265","443","51999","172.217.5.14","172.24.21.152","40548","1805410788","1909911104","false","true","false","false","20","true","false","4140"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3","443","52010","172.217.5.14","172.24.21.152","571","1650702356","0","true","false","false","false","32","true","false","8192"
"4","52010","443","172.24.21.152","172.217.5.14","576","4052751387","1650702357","true","true","false","false","32","false","true","42900"
"5","443","52010","172.217.5.14","172.24.21.152","576","1650702357","4052751388","false","true","false","false","20","true","false","4140"
"6","443","52010","172.217.5.14","172.24.21.152","577","1650702357","4052751388","false","true","false","true","20","true","false","4140"
"7","52010","443","172.24.21.152","172.217.5.14","583","4052751388","1650702534","false","true","false","false","20","false","true","344"
"8","52010","443","172.24.21.152","172.217.5.14","584","4052751388","1650702534","false","true","false","true","20","false","true","344"
"9","52010","443","172.24.21.152","172.217.5.14","584","4052752768","1650702534","false","true","false","false","20","false","true","344"
"10","443","52010","172.217.5.14","172.24.21.152","584","1650702534","4052754148","false","true","false","false","20","true","false","4140"
"11","52010","443","172.24.21.152","172.217.5.14","584","4052754148","1650702534","false","true","false","false","20","false","true","344"
"12","443","52010","172.217.5.14","172.24.21.152","599","1650702534","4052755349","false","true","false","true","20","true","false","3839"
"13","443","52010","172.217.5.14","172.24.21.152","599","1650702660","4052755349","false","true","false","false","20","true","false","3839"
"15","52010","443","172.24.21.152","172.217.5.14","647","4052755595","1650703576","false","true","false","false","20","false","true","358"
"16","52010","443","172.24.21.152","172.217.5.14","672","4052755595","1650703576","false","true","false","false","20","false","true","358"
"17","443","52010","172.217.5.14","172.24.21.152","672","1650703576","4052756975","false","true","false","false","20","true","false","4140"
"18","52010","443","172.24.21.152","172.217.5.14","673","4052756975","1650703576","false","true","false","false","20","false","true","358"
"19","52010","443","172.24.21.152","172.217.5.14","673","4052758355","1650703576","false","true","false","false","20","false","true","358"
"20","443","52010","172.217.5.14","172.24.21.152","673","1650703576","4052758517","false","true","false","false","20","true","false","4140"
"21","52010","443","172.24.21.152","172.217.5.14","809","4052758517","1650703576","false","true","false","false","20","false","true","358"
"22","52010","443","172.24.21.152","172.217.5.14","812","4052759897","1650703576","false","true","false","false","20","false","true","358"
"23","443","52010","172.217.5.14","172.24.21.152","812","1650703576","4052761277","false","true","false","false","20","true","false","4140"
"24","52010","443","172.24.21.152","172.217.5.14","812","4052761277","1650703576","false","true","false","false","20","false","true","358"
"25","52010","443","172.24.21.152","172.217.5.14","812","4052762657","1650703576","false","true","false","false","20","false","true","358"
"26","443","52010","172.217.5.14","172.24.21.152","812","1650703576","4052764037","false","true","false","false","20","true","false","4140"
"27","52010","443","172.24.21.152","172.217.5.14","812","4052764037","1650703576","false","true","false","false","20","false","true","358"
"28","52010","443","172.24.21.152","172.217.5.14","812","4052765417","1650703576","false","true","false","false","20","false","true","358"
"29","443","52010","172.217.5.14","172.24.21.152","812","1650703576","4052766797","false","true","false","false","20","true","false","4140"
"30","52010","443","172.24.21.152","172.217.5.14","812","4052766797","1650703576","false","true","false","false","20","false","true","358"
"31","52010","443","172.24.21.152","172.217.5.14","812","4052768177","1650703576","false","true","false","false","20","false","true","358"
"32","443","52010","172.217.5.14","172.24.21.152","812","1650703576","4052769557","false","true","false","false","20","true","false","4140"
"33","52010","443","172.24.21.152","172.217.5.14","812","4052769557","1650703576","false","true","false","false","20","false","true","358"
"34","52010","443","172.24.21.152","172.217.5.14","812","4052770937","1650703576","false","true","false","false","20","false","true","358"
"35","443","52010","172.217.5.14","172.24.21.152","812","1650703576","4052772317","false","true","false","false","20","true","false","4140"
"36","52010","443","172.24.21.152","172.217.5.14","819","4052772317","1650703576","false","true","false","false","20","false","true","358"
"37","52010","443","172.24.21.152","172.217.5.14","819","4052773697","1650703576","false","true","false","false","20","false","true","358"
"38","443","52010","172.217.5.14","172.24.21.152","819","1650703576","4052773994","false","true","false","false","20","true","false","4140"
"39","52010","443","172.24.21.152","172.217.5.14","907","4052773994","1650703576","false","true","false","false","20","false","true","358"
"40","52010","443","172.24.21.152","172.217.5.14","907","4052775374","1650703576","false","true","false","false","20","false","true","358"
"41","443","52010","172.217.5.14","172.24.21.152","907","1650703576","4052776754","false","true","false","false","20","true","false","4140"
"42","52010","443","172.24.21.152","172.217.5.14","909","4052776754","1650703576","false","true","false","false","20","false","true","358"
"43","52010","443","172.24.21.152","172.217.5.14","909","4052778134","1650703576","false","true","false","false","20","false","true","358"
"44","443","52010","172.217.5.14","172.24.21.152","909","1650703576","4052779514","false","true","false","false","20","true","false","4140"
"45","52010","443","172.24.21.152","172.217.5.14","909","4052779514","1650703576","false","true","false","false","20","false","true","358"
"46","52010","443","172.24.21.152","172.217.5.14","909","4052780894","1650703576","false","true","false","false","20","false","true","358"
"47","443","52010","172.217.5.14","172.24.21.152","909","1650703576","4052782274","false","true","false","false","20","true","false","4140"
"48","52010","443","172.24.21.152","172.217.5.14","909","4052782274","1650703576","false","true","false","false","20","false","true","358"
"49","52010","443","172.24.21.152","172.217.5.14","909","4052783654","1650703576","false","true","false","false","20","false","true","358"
"50","443","52010","172.217.5.14","172.24.21.152","909","1650703576","4052785034","false","true","false","false","20","true","false","4140"
"51","52010","443","172.24.21.152","172.217.5.14","909","4052785034","1650703576","false","true","false","false","20","false","true","358"
"52","52010","443","172.24.21.152","172.217.5.14","909","4052786414","1650703576","false","true","false","false","20","false","true","358"
"53","443","52010","172.217.5.14","172.24.21.152","909","1650703576","4052787794","false","true","false","false","20","true","false","4140"
"54","52010","443","172.24.21.152","172.217.5.14","909","4052787794","1650703576","false","true","false","false","20","false","true","358"
"55","52010","443","172.24.21.152","172.217.5.14","910","4052789174","1650703576","false","true","false","false","20","false","true","358"
"56","443","52010","172.217.5.14","172.24.21.152","910","1650703576","4052790554","false","true","false","false","20","true","false","4140"
"57","52010","443","172.24.21.152","172.217.5.14","916","4052790554","1650703576","false","true","false","false","20","false","true","358"
"58","52010","443","172.24.21.152","172.217.5.14","916","4052791934","1650703576","false","true","false","false","20","false","true","358"
"59","443","52010","172.217.5.14","172.24.21.152","916","1650703576","4052793314","false","true","false","false","20","true","false","4140"
"60","52010","443","172.24.21.152","172.217.5.14","916","4052793314","1650703576","false","true","false","false","20","false","true","358"
"61","52010","443","172.24.21.152","172.217.5.14","916","4052794694","1650703576","false","true","false","false","20","false","true","358"
"62","443","52010","172.217.5.14","172.24.21.152","916","1650703576","4052796074","false","true","false","false","20","true","false","4140"
"63","52010","443","172.24.21.152","172.217.5.14","916","4052796074","1650703576","false","true","false","false","20","false","true","358"
"64","52010","443","172.24.21.152","172.217.5.14","916","4052797454","1650703576","false","true","false","false","20","false","true","358"
"65","443","52010","172.217.5.14","172.24.21.152","916","1650703576","4052798834","false","true","false","false","20","true","false","4140"
"66","52010","443","172.24.21.152","172.217.5.14","916","4052798834","1650703576","false","true","false","false","20","false","true","358"
"67","52010","443","172.24.21.152","172.217.5.14","917","4052800214","1650703576","false","true","false","false","20","false","true","358"
"68","443","52010","172.217.5.14","172.24.21.152","917","1650703576","4052800292","false","true","false","false","20","true","false","4140"
"69","52010","443","172.24.21.152","172.217.5.14","939","4052800214","1650703576","false","true","false","false","20","false","true","358"
"70","443","52010","172.217.5.14","172.24.21.152","939","1650703576","4052800292","false","true","false","false","32","true","false","4140"
"71","443","52010","172.217.5.14","172.24.21.152","1537","1650703576","4052800292","false","true","false","false","20","true","false","4140"
"72","52010","443","172.24.21.152","172.217.5.14","1679","4052800292","1650704636","false","true","false","false","20","false","true","375"
"73","52010","443","172.24.21.152","172.217.5.14","1718","4052800292","1650704636","false","true","false","false","20","false","true","375"
"74","443","52010","172.217.5.14","172.24.21.152","1916","1650704636","4052800843","false","true","false","false","20","true","false","4002"
"75","52010","443","172.24.21.152","172.217.5.14","1962","4052800292","1650704636","false","true","false","false","20","false","true","375"
"76","443","52010","172.217.5.14","172.24.21.152","1962","1650704636","4052800843","false","true","false","false","32","true","false","4002"
"77","52010","443","172.24.21.152","172.217.5.14","2188","4052800292","1650704636","false","true","false","false","20","false","true","375"
"78","443","52010","172.217.5.14","172.24.21.152","2188","1650704636","4052800843","false","true","false","false","32","true","false","4002"
"79","52010","443","172.24.21.152","172.217.5.14","2656","4052800292","1650704636","false","true","false","false","20","false","true","375"
"80","443","52010","172.217.5.14","172.24.21.152","2656","1650704636","4052800843","false","true","false","false","32","true","false","4002"
"81","52010","443","172.24.21.152","172.217.5.14","3594","4052800292","1650704636","false","true","false","false","20","false","true","375"
"82","443","52010","172.217.5.14","172.24.21.152","3594","1650704636","4052800843","false","true","false","false","32","true","false","4002"
"83","443","52010","172.217.5.14","172.24.21.152","4817","1650704636","4052800843","false","true","false","false","20","true","false","4002"
"84","52010","443","172.24.21.152","172.217.5.14","4841","4052800843","1650705673","false","true","false","false","20","false","true","391"
"87","52010","443","172.24.21.152","172.217.5.14","4942","4052800843","1650705673","false","true","false","false","20","false","true","391"
"92","443","52010","172.217.5.14","172.24.21.152","4943","1650705673","4052801296","false","true","false","false","20","true","false","3889"
"93","443","52010","172.217.5.14","172.24.21.152","4943","1650707053","4052801296","false","true","false","false","20","true","false","3889"
"96","52010","443","172.24.21.152","172.217.5.14","4960","4052801296","1650707396","false","true","false","false","20","false","true","435"
"105","52010","443","172.24.21.152","172.217.5.14","5023","4052801296","1650707396","false","true","false","false","20","false","true","435"
"114","443","52010","172.217.5.14","172.24.21.152","5226","1650707396","4052801768","false","true","false","false","20","true","false","4140"
"123","443","52010","172.217.5.14","172.24.21.152","6538","1650707396","4052801768","false","true","false","false","20","true","false","4140"
"124","443","52010","172.217.5.14","172.24.21.152","6538","1650708776","4052801768","false","true","false","false","20","true","false","4140"
"125","52010","443","172.24.21.152","172.217.5.14","6663","4052801768","1650709400","false","true","false","false","20","false","true","478"
"126","52010","443","172.24.21.152","172.217.5.14","6735","4052801768","1650709400","false","true","false","false","20","false","true","478"
"127","443","52010","172.217.5.14","172.24.21.152","7026","1650709400","4052802240","false","true","false","false","20","true","false","4022"
"128","52010","443","172.24.21.152","172.217.5.14","7033","4052801768","1650709400","false","true","false","false","20","false","true","478"
"129","443","52010","172.217.5.14","172.24.21.152","7033","1650709400","4052802240","false","true","false","false","32","true","false","4022"
"130","52010","443","172.24.21.152","172.217.5.14","7429","4052801768","1650709400","false","true","false","false","20","false","true","478"
"131","443","52010","172.217.5.14","172.24.21.152","7429","1650709400","4052802240","false","true","false","false","32","true","false","4022"
"132","52010","443","172.24.21.152","172.217.5.14","8223","4052801768","1650709400","false","true","false","false","20","false","true","478"
"133","443","52010","172.217.5.14","172.24.21.152","8223","1650709400","4052802240","false","true","false","false","32","true","false","4022"
"134","443","52010","172.217.5.14","172.24.21.152","8282","1650709400","4052802240","false","true","false","false","20","true","false","4022"
"135","443","52010","172.217.5.14","172.24.21.152","8282","1650710780","4052802240","false","true","false","false","20","true","false","4022"
"136","52010","443","172.24.21.152","172.217.5.14","8320","4052802240","1650711098","false","true","false","false","20","false","true","521"
"137","52010","443","172.24.21.152","172.217.5.14","8412","4052802240","1650711098","false","true","false","false","20","false","true","521"
"138","52010","443","172.24.21.152","172.217.5.14","8412","4052803620","1650711098","false","true","false","false","20","false","true","521"
"139","443","52010","172.217.5.14","172.24.21.152","8412","1650711098","4052805000","false","true","false","false","20","true","false","4140"
