"frame","dstport","srcport","destIP","srcIP","timestamp","cid","seqNo","isChlo","isRej","SCID"
"1","443","50382","172.217.4.196","172.24.21.152","0","5B5182DE8D8A1E3F","1","true","false","null"
"2","50382","443","172.24.21.152","172.217.4.196","7","5B5182DE8D8A1E3F","1","false","true","F6558D60DE5F0D262CD6E966023A54BB"
"4","443","50382","172.217.4.196","172.24.21.152","14","5B5182DE8D8A1E3F","2","true","false","F6558D60DE5F0D262CD6E966023A54BB"
"5","50382","443","172.24.21.152","172.217.4.196","23","null","3","false","false","null"
"6","443","50382","172.217.4.196","172.24.21.152","27","5B5182DE8D8A1E3F","3","false","false","null"
"7","50382","443","172.24.21.152","172.217.4.196","63","null","4","false","false","null"
"8","443","50382","172.217.4.196","172.24.21.152","205","5B5182DE8D8A1E3F","4","false","false","null"
"9","443","50382","172.217.4.196","172.24.21.152","205","5B5182DE8D8A1E3F","5","false","false","null"
"10","50382","443","172.24.21.152","172.217.4.196","215","null","5","false","false","null"
"11","50382","443","172.24.21.152","172.217.4.196","231","null","6","false","false","null"
"12","50382","443","172.24.21.152","172.217.4.196","231","null","7","false","false","null"
"13","50382","443","172.24.21.152","172.217.4.196","231","null","8","false","false","null"
"14","50382","443","172.24.21.152","172.217.4.196","232","null","9","false","false","null"
"15","50382","443","172.24.21.152","172.217.4.196","232","null","10","false","false","null"
"16","443","50382","172.217.4.196","172.24.21.152","232","5B5182DE8D8A1E3F","6","false","false","null"
"17","443","50382","172.217.4.196","172.24.21.152","232","5B5182DE8D8A1E3F","7","false","false","null"
"18","50382","443","172.24.21.152","172.217.4.196","232","null","11","false","false","null"
"19","50382","443","172.24.21.152","172.217.4.196","233","null","12","false","false","null"
"20","50382","443","172.24.21.152","172.217.4.196","233","null","13","false","false","null"
"21","50382","443","172.24.21.152","172.217.4.196","233","null","14","false","false","null"
"22","50382","443","172.24.21.152","172.217.4.196","233","null","15","false","false","null"
"23","443","50382","172.217.4.196","172.24.21.152","233","5B5182DE8D8A1E3F","8","false","false","null"
"24","443","50382","172.217.4.196","172.24.21.152","233","5B5182DE8D8A1E3F","9","false","false","null"
"25","443","50382","172.217.4.196","172.24.21.152","233","5B5182DE8D8A1E3F","10","false","false","null"
"26","50382","443","172.24.21.152","172.217.4.196","233","null","16","false","false","null"
"27","50382","443","172.24.21.152","172.217.4.196","234","null","17","false","false","null"
"28","443","50382","172.217.4.196","172.24.21.152","234","5B5182DE8D8A1E3F","11","false","false","null"
"29","443","50382","172.217.4.196","172.24.21.152","432","5B5182DE8D8A1E3F","12","false","false","null"
"30","443","50382","172.217.4.196","172.24.21.152","433","5B5182DE8D8A1E3F","13","false","false","null"
"31","443","50382","172.217.4.196","172.24.21.152","433","5B5182DE8D8A1E3F","14","false","false","null"
"32","443","50382","172.217.4.196","172.24.21.152","433","5B5182DE8D8A1E3F","15","false","false","null"
"33","50382","443","172.24.21.152","172.217.4.196","447","null","18","false","false","null"
"34","50382","443","172.24.21.152","172.217.4.196","450","null","19","false","false","null"
"35","50382","443","172.24.21.152","172.217.4.196","470","null","20","false","false","null"
"36","50382","443","172.24.21.152","172.217.4.196","473","null","21","false","false","null"
"37","50382","443","172.24.21.152","172.217.4.196","473","null","22","false","false","null"
"38","50382","443","172.24.21.152","172.217.4.196","474","null","23","false","false","null"
"39","50382","443","172.24.21.152","172.217.4.196","474","null","24","false","false","null"
"40","50382","443","172.24.21.152","172.217.4.196","474","null","25","false","false","null"
"41","50382","443","172.24.21.152","172.217.4.196","474","null","26","false","false","null"
"42","50382","443","172.24.21.152","172.217.4.196","474","null","27","false","false","null"
"43","50382","443","172.24.21.152","172.217.4.196","474","null","28","false","false","null"
"44","50382","443","172.24.21.152","172.217.4.196","474","null","29","false","false","null"
"45","50382","443","172.24.21.152","172.217.4.196","474","null","31","false","false","null"
"46","50382","443","172.24.21.152","172.217.4.196","474","null","30","false","false","null"
"47","443","50382","172.217.4.196","172.24.21.152","474","5B5182DE8D8A1E3F","16","false","false","null"
"48","443","50382","172.217.4.196","172.24.21.152","474","5B5182DE8D8A1E3F","17","false","false","null"
"49","443","50382","172.217.4.196","172.24.21.152","474","5B5182DE8D8A1E3F","18","false","false","null"
"50","443","50382","172.217.4.196","172.24.21.152","474","5B5182DE8D8A1E3F","19","false","false","null"
"51","443","50382","172.217.4.196","172.24.21.152","474","5B5182DE8D8A1E3F","20","false","false","null"
"52","443","50382","172.217.4.196","172.24.21.152","474","5B5182DE8D8A1E3F","21","false","false","null"
"53","443","50382","172.217.4.196","172.24.21.152","474","5B5182DE8D8A1E3F","22","false","false","null"
"54","50382","443","172.24.21.152","172.217.4.196","476","null","32","false","false","null"
"55","50382","443","172.24.21.152","172.217.4.196","476","null","33","false","false","null"
"56","50382","443","172.24.21.152","172.217.4.196","476","null","35","false","false","null"
"57","50382","443","172.24.21.152","172.217.4.196","476","null","34","false","false","null"
