"frame","dstport","srcport","destIP","srcIP","timestamp","cid","seqNo","isChlo","isRej","SCID"
"839","443","61391","172.217.4.196","172.24.21.152","258018","829161F25768CAB3","1","true","false","F6558D60DE5F0D262CD6E966023A54BB"
"840","443","61391","172.217.4.196","172.24.21.152","258027","829161F25768CAB3","2","false","false","null"
"841","61391","443","172.24.21.152","172.217.4.196","258038","null","1","false","false","null"
"842","61391","443","172.24.21.152","172.217.4.196","258059","null","2","false","false","null"
"843","443","61391","172.217.4.196","172.24.21.152","258059","829161F25768CAB3","3","false","false","null"
"844","61391","443","172.24.21.152","172.217.4.196","258063","null","3","false","false","null"
"845","443","61391","172.217.4.196","172.24.21.152","258063","829161F25768CAB3","4","false","false","null"
"846","61391","443","172.24.21.152","172.217.4.196","258097","null","4","false","false","null"
"847","443","61391","172.217.4.196","172.24.21.152","258104","829161F25768CAB3","5","false","false","null"
"848","443","61391","172.217.4.196","172.24.21.152","258108","829161F25768CAB3","6","false","false","null"
"849","443","61391","172.217.4.196","172.24.21.152","258108","829161F25768CAB3","7","false","false","null"
"850","443","61391","172.217.4.196","172.24.21.152","258109","829161F25768CAB3","8","false","false","null"
"851","443","61391","172.217.4.196","172.24.21.152","258109","829161F25768CAB3","9","false","false","null"
"852","443","61391","172.217.4.196","172.24.21.152","258109","829161F25768CAB3","10","false","false","null"
"853","61391","443","172.24.21.152","172.217.4.196","258116","null","5","false","false","null"
"854","61391","443","172.24.21.152","172.217.4.196","258118","null","6","false","false","null"
"855","61391","443","172.24.21.152","172.217.4.196","258126","null","8","false","false","null"
"856","443","61391","172.217.4.196","172.24.21.152","258129","829161F25768CAB3","11","false","false","null"
"857","443","61391","172.217.4.196","172.24.21.152","258130","829161F25768CAB3","12","false","false","null"
"858","61391","443","172.24.21.152","172.217.4.196","258130","null","9","false","false","null"
"859","61391","443","172.24.21.152","172.217.4.196","258133","null","10","false","false","null"
"860","61391","443","172.24.21.152","172.217.4.196","258133","null","11","false","false","null"
"861","443","61391","172.217.4.196","172.24.21.152","258134","829161F25768CAB3","13","false","false","null"
"862","443","61391","172.217.4.196","172.24.21.152","258134","829161F25768CAB3","14","false","false","null"
"863","443","61391","172.217.4.196","172.24.21.152","258134","829161F25768CAB3","15","false","false","null"
"864","61391","443","172.24.21.152","172.217.4.196","258135","null","12","false","false","null"
"865","61391","443","172.24.21.152","172.217.4.196","258135","null","13","false","false","null"
"866","443","61391","172.217.4.196","172.24.21.152","258136","829161F25768CAB3","16","false","false","null"
"867","443","61391","172.217.4.196","172.24.21.152","258147","829161F25768CAB3","17","false","false","null"
"868","443","61391","172.217.4.196","172.24.21.152","258148","829161F25768CAB3","18","false","false","null"
