"frame","dstport","srcport","destIP","srcIP","timestamp","cid","seqNo","isChlo","isRej","SCID"
"378","443","60026","172.217.4.196","172.24.21.152","270041","A48E615F80225108","1","true","false","F6558D60DE5F0D262CD6E966023A54BB"
"379","60026","443","172.24.21.152","172.217.4.196","271180","null","1","false","false","null"
"380","60026","443","172.24.21.152","172.217.4.196","271183","null","2","false","false","null"
"381","60026","443","172.24.21.152","172.217.4.196","271205","null","3","false","false","null"
"382","60026","443","172.24.21.152","172.217.4.196","271280","null","4","false","false","null"
"383","60026","443","172.24.21.152","172.217.4.196","271388","null","5","false","false","null"
"384","60026","443","172.24.21.152","172.217.4.196","271628","null","6","false","false","null"
"385","60026","443","172.24.21.152","172.217.4.196","272110","null","7","false","false","null"
"386","443","60026","172.217.4.196","172.24.21.152","272608","A48E615F80225108","2","false","false","null"
"387","60026","443","172.24.21.152","172.217.4.196","273061","null","8","false","false","null"
"388","60026","443","172.24.21.152","172.217.4.196","273122","null","9","false","false","null"
"389","60026","443","172.24.21.152","172.217.4.196","273122","null","10","false","false","null"
"390","60026","443","172.24.21.152","172.217.4.196","273122","null","11","false","false","null"
"391","60026","443","172.24.21.152","172.217.4.196","273122","null","12","false","false","null"
"392","60026","443","172.24.21.152","172.217.4.196","273122","null","14","false","false","null"
"393","443","60026","172.217.4.196","172.24.21.152","273122","A48E615F80225108","3","false","false","null"
"394","443","60026","172.217.4.196","172.24.21.152","273122","A48E615F80225108","4","false","false","null"
"395","443","60026","172.217.4.196","172.24.21.152","273122","A48E615F80225108","5","false","false","null"
"396","60026","443","172.24.21.152","172.217.4.196","273124","null","13","false","false","null"
"397","60026","443","172.24.21.152","172.217.4.196","273124","null","15","false","false","null"
"398","60026","443","172.24.21.152","172.217.4.196","273124","null","16","false","false","null"
"399","60026","443","172.24.21.152","172.217.4.196","273124","null","17","false","false","null"
"400","60026","443","172.24.21.152","172.217.4.196","273124","null","18","false","false","null"
"401","60026","443","172.24.21.152","172.217.4.196","273124","null","19","false","false","null"
"402","443","60026","172.217.4.196","172.24.21.152","273125","A48E615F80225108","6","false","false","null"
"403","443","60026","172.217.4.196","172.24.21.152","273125","A48E615F80225108","7","false","false","null"
"404","443","60026","172.217.4.196","172.24.21.152","273125","A48E615F80225108","8","false","false","null"
"405","60026","443","172.24.21.152","172.217.4.196","273128","null","20","false","false","null"
"406","60026","443","172.24.21.152","172.217.4.196","273128","null","21","false","false","null"
"407","443","60026","172.217.4.196","172.24.21.152","273129","A48E615F80225108","9","false","false","null"
"408","60026","443","172.24.21.152","172.217.4.196","273135","null","22","false","false","null"
"409","443","60026","172.217.4.196","172.24.21.152","273135","A48E615F80225108","10","false","false","null"
