"frame","dstport","srcport","destIP","srcIP","timestamp","cid","seqNo","isChlo","isRej","SCID"
"370","443","64324","172.217.4.196","172.24.21.152","141928","7B80DE0FF7983F60","1","true","false","EB5D5C1EBF53135B563543E6B540071F"
"371","64324","443","172.24.21.152","172.217.4.196","141954","null","1","false","false","null"
"372","64324","443","172.24.21.152","172.217.4.196","141994","null","2","false","false","null"
"373","443","64324","172.217.4.196","172.24.21.152","142051","7B80DE0FF7983F60","2","false","false","null"
"374","64324","443","172.24.21.152","172.217.4.196","142059","null","3","false","false","null"
"375","443","64324","172.217.4.196","172.24.21.152","142082","7B80DE0FF7983F60","3","false","false","null"
"376","443","64324","172.217.4.196","172.24.21.152","143506","7B80DE0FF7983F60","4","false","false","null"
"377","64324","443","172.24.21.152","172.217.4.196","143588","null","4","false","false","null"
"378","64324","443","172.24.21.152","172.217.4.196","143588","null","6","false","false","null"
"379","443","64324","172.217.4.196","172.24.21.152","143589","7B80DE0FF7983F60","5","false","false","null"
"380","64324","443","172.24.21.152","172.217.4.196","143593","null","5","false","false","null"
"381","64324","443","172.24.21.152","172.217.4.196","143593","null","8","false","false","null"
"382","64324","443","172.24.21.152","172.217.4.196","143593","null","7","false","false","null"
"383","64324","443","172.24.21.152","172.217.4.196","143593","null","9","false","false","null"
"384","64324","443","172.24.21.152","172.217.4.196","143593","null","10","false","false","null"
"385","443","64324","172.217.4.196","172.24.21.152","143593","7B80DE0FF7983F60","6","false","false","null"
"386","443","64324","172.217.4.196","172.24.21.152","143593","7B80DE0FF7983F60","7","false","false","null"
"387","443","64324","172.217.4.196","172.24.21.152","143593","7B80DE0FF7983F60","8","false","false","null"
"388","443","64324","172.217.4.196","172.24.21.152","143593","7B80DE0FF7983F60","9","false","false","null"
"389","443","64324","172.217.4.196","172.24.21.152","143601","7B80DE0FF7983F60","10","false","false","null"
"390","64324","443","172.24.21.152","172.217.4.196","143676","null","11","false","false","null"
"391","443","64324","172.217.4.196","172.24.21.152","143701","7B80DE0FF7983F60","11","false","false","null"
"392","443","64324","172.217.4.196","172.24.21.152","143747","7B80DE0FF7983F60","12","false","false","null"
"393","443","64324","172.217.4.196","172.24.21.152","143808","7B80DE0FF7983F60","13","false","false","null"
"394","64324","443","172.24.21.152","172.217.4.196","143967","null","14","false","false","null"
"395","443","64324","172.217.4.196","172.24.21.152","143968","7B80DE0FF7983F60","14","false","false","null"
"396","443","64324","172.217.4.196","172.24.21.152","144009","7B80DE0FF7983F60","15","false","false","null"
"397","64324","443","172.24.21.152","172.217.4.196","144387","null","16","false","false","null"
"398","64324","443","172.24.21.152","172.217.4.196","144387","null","17","false","false","null"
"399","443","64324","172.217.4.196","172.24.21.152","144388","7B80DE0FF7983F60","16","false","false","null"
"400","443","64324","172.217.4.196","172.24.21.152","144388","7B80DE0FF7983F60","17","false","false","null"
"401","443","64324","172.217.4.196","172.24.21.152","144394","7B80DE0FF7983F60","18","false","false","null"
"402","443","64324","172.217.4.196","172.24.21.152","144794","7B80DE0FF7983F60","19","false","false","null"
"403","443","64324","172.217.4.196","172.24.21.152","144794","7B80DE0FF7983F60","20","false","false","null"
"404","64324","443","172.24.21.152","172.217.4.196","144835","null","18","false","false","null"
"405","64324","443","172.24.21.152","172.217.4.196","144838","null","19","false","false","null"
"406","64324","443","172.24.21.152","172.217.4.196","144838","null","20","false","false","null"
"407","64324","443","172.24.21.152","172.217.4.196","144838","null","21","false","false","null"
"408","64324","443","172.24.21.152","172.217.4.196","144838","null","22","false","false","null"
"409","443","64324","172.217.4.196","172.24.21.152","144841","7B80DE0FF7983F60","21","false","false","null"
"410","443","64324","172.217.4.196","172.24.21.152","144841","7B80DE0FF7983F60","22","false","false","null"
"411","64324","443","172.24.21.152","172.217.4.196","144866","null","23","false","false","null"
"412","64324","443","172.24.21.152","172.217.4.196","144888","null","24","false","false","null"
"413","64324","443","172.24.21.152","172.217.4.196","144895","null","25","false","false","null"
"414","64324","443","172.24.21.152","172.217.4.196","144896","null","26","false","false","null"
"415","64324","443","172.24.21.152","172.217.4.196","144896","null","27","false","false","null"
"416","443","64324","172.217.4.196","172.24.21.152","144897","7B80DE0FF7983F60","23","false","false","null"
"417","443","64324","172.217.4.196","172.24.21.152","144897","7B80DE0FF7983F60","24","false","false","null"
"418","64324","443","172.24.21.152","172.217.4.196","144898","null","28","false","false","null"
"419","64324","443","172.24.21.152","172.217.4.196","144898","null","29","false","false","null"
"420","64324","443","172.24.21.152","172.217.4.196","144898","null","30","false","false","null"
"421","443","64324","172.217.4.196","172.24.21.152","144900","7B80DE0FF7983F60","25","false","false","null"
"422","64324","443","172.24.21.152","172.217.4.196","144902","null","31","false","false","null"
"423","64324","443","172.24.21.152","172.217.4.196","144902","null","32","false","false","null"
"424","64324","443","172.24.21.152","172.217.4.196","144902","null","33","false","false","null"
"425","443","64324","172.217.4.196","172.24.21.152","144903","7B80DE0FF7983F60","26","false","false","null"
"426","443","64324","172.217.4.196","172.24.21.152","144903","7B80DE0FF7983F60","27","false","false","null"
"427","64324","443","172.24.21.152","172.217.4.196","144904","null","34","false","false","null"
"428","64324","443","172.24.21.152","172.217.4.196","144904","null","35","false","false","null"
"429","443","64324","172.217.4.196","172.24.21.152","144905","7B80DE0FF7983F60","28","false","false","null"
"430","64324","443","172.24.21.152","172.217.4.196","144923","null","36","false","false","null"
