"frame","dstport","srcport","destIP","srcIP","timestamp","cid","seqNo","isChlo","isRej","SCID"
"1","443","54221","74.125.174.117","172.24.21.152","0","070E5608D7448F3D","1","true","false","null"
"2","54221","443","172.24.21.152","74.125.174.117","8","070E5608D7448F3D","1","false","true","906484340F2E28D5AA62AAC6FF946078"
"4","443","54221","74.125.174.117","172.24.21.152","15","070E5608D7448F3D","2","true","false","906484340F2E28D5AA62AAC6FF946078"
"5","54221","443","172.24.21.152","74.125.174.117","23","null","3","false","false","null"
"6","443","54221","74.125.174.117","172.24.21.152","26","070E5608D7448F3D","3","false","false","null"
"7","54221","443","172.24.21.152","74.125.174.117","48","null","4","false","false","null"
"8","443","54221","74.125.174.117","172.24.21.152","173","070E5608D7448F3D","4","false","false","null"
"9","443","54221","74.125.174.117","172.24.21.152","173","070E5608D7448F3D","5","false","false","null"
"10","54221","443","172.24.21.152","74.125.174.117","181","null","5","false","false","null"
"11","54221","443","172.24.21.152","74.125.174.117","181","null","6","false","false","null"
"12","54221","443","172.24.21.152","74.125.174.117","181","null","7","false","false","null"
"13","54221","443","172.24.21.152","74.125.174.117","181","null","8","false","false","null"
"14","54221","443","172.24.21.152","74.125.174.117","181","null","9","false","false","null"
"15","54221","443","172.24.21.152","74.125.174.117","181","null","10","false","false","null"
"16","54221","443","172.24.21.152","74.125.174.117","181","null","11","false","false","null"
"17","54221","443","172.24.21.152","74.125.174.117","181","null","12","false","false","null"
"18","54221","443","172.24.21.152","74.125.174.117","183","null","13","false","false","null"
"19","54221","443","172.24.21.152","74.125.174.117","183","null","14","false","false","null"
"20","54221","443","172.24.21.152","74.125.174.117","183","null","15","false","false","null"
"21","54221","443","172.24.21.152","74.125.174.117","183","null","16","false","false","null"
"22","54221","443","172.24.21.152","74.125.174.117","183","null","18","false","false","null"
"23","54221","443","172.24.21.152","74.125.174.117","183","null","17","false","false","null"
"24","54221","443","172.24.21.152","74.125.174.117","183","null","19","false","false","null"
"25","54221","443","172.24.21.152","74.125.174.117","183","null","20","false","false","null"
"26","54221","443","172.24.21.152","74.125.174.117","183","null","21","false","false","null"
"27","54221","443","172.24.21.152","74.125.174.117","183","null","22","false","false","null"
"28","54221","443","172.24.21.152","74.125.174.117","183","null","23","false","false","null"
"29","54221","443","172.24.21.152","74.125.174.117","183","null","24","false","false","null"
"30","54221","443","172.24.21.152","74.125.174.117","183","null","25","false","false","null"
"31","54221","443","172.24.21.152","74.125.174.117","185","null","27","false","false","null"
"32","54221","443","172.24.21.152","74.125.174.117","185","null","26","false","false","null"
"33","54221","443","172.24.21.152","74.125.174.117","185","null","28","false","false","null"
"34","54221","443","172.24.21.152","74.125.174.117","185","null","30","false","false","null"
