"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","52407","31.13.80.36","172.24.21.152","0","4278024210","0","true","false","false","false","32","true","false","8192"
"2","52407","443","172.24.21.152","31.13.80.36","20","2164826519","4278024211","true","true","false","false","32","false","true","14100"
"3","443","52407","31.13.80.36","172.24.21.152","20","4278024211","2164826520","false","true","false","false","20","true","false","16560"
"4","443","52407","31.13.80.36","172.24.21.152","20","4278024211","2164826520","false","true","false","true","20","true","false","16560"
"5","52407","443","172.24.21.152","31.13.80.36","39","2164826520","4278024401","false","true","false","false","20","false","true","60"
"6","52407","443","172.24.21.152","31.13.80.36","40","2164826520","4278024401","false","true","false","true","20","false","true","60"
"7","52407","443","172.24.21.152","31.13.80.36","40","2164827900","4278024401","false","true","false","false","20","false","true","60"
"8","443","52407","31.13.80.36","172.24.21.152","40","4278024401","2164829280","false","true","false","false","20","true","false","16560"
"9","52407","443","172.24.21.152","31.13.80.36","40","2164829280","4278024401","false","true","false","false","20","false","true","60"
"10","443","52407","31.13.80.36","172.24.21.152","50","4278024401","2164829694","false","true","false","true","20","true","false","16456"
"11","52407","443","172.24.21.152","31.13.80.36","71","2164829694","4278024527","false","true","false","true","20","false","true","60"
"12","52407","443","172.24.21.152","31.13.80.36","71","2164829952","4278024527","false","true","false","false","20","false","true","60"
"13","443","52407","31.13.80.36","172.24.21.152","71","4278024527","2164830033","false","true","false","false","20","true","false","16371"
"14","443","52407","31.13.80.36","172.24.21.152","173","4278024527","2164830033","false","true","false","false","20","true","false","16371"
"15","443","52407","31.13.80.36","172.24.21.152","173","4278024684","2164830033","false","true","false","false","20","true","false","16371"
"17","52407","443","172.24.21.152","31.13.80.36","193","2164830071","4278025261","false","true","false","false","20","false","true","68"
"18","443","52407","31.13.80.36","172.24.21.152","193","4278025261","2164830113","false","true","false","false","20","true","false","16351"
"19","443","52407","31.13.80.36","172.24.21.152","199","4278025261","2164830113","false","true","false","false","20","true","false","16351"
"20","52407","443","172.24.21.152","31.13.80.36","235","2164830113","4278025299","false","true","false","false","20","false","true","68"
"21","52407","443","172.24.21.152","31.13.80.36","235","2164831176","4278025299","false","true","false","false","20","false","true","68"
