"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","55274","198.199.94.9","172.24.21.152","0","1265478245","0","true","false","false","false","32","true","false","8192"
"2","55274","443","172.24.21.152","198.199.94.9","91","3816100441","1265478246","true","true","false","false","32","false","true","14600"
"3","443","55274","198.199.94.9","172.24.21.152","91","1265478246","3816100442","false","true","false","false","20","true","false","16560"
"4","443","55274","198.199.94.9","172.24.21.152","92","1265478246","3816100442","false","true","false","true","20","true","false","16560"
"5","55274","443","172.24.21.152","198.199.94.9","173","3816100442","1265478439","false","true","false","false","20","false","true","62"
"6","55274","443","172.24.21.152","198.199.94.9","185","3816100442","1265478439","false","true","false","true","20","false","true","62"
"7","55274","443","172.24.21.152","198.199.94.9","185","3816101822","1265478439","false","true","false","false","20","false","true","62"
"8","443","55274","198.199.94.9","172.24.21.152","185","1265478439","3816103202","false","true","false","false","20","true","false","16560"
"9","55274","443","172.24.21.152","198.199.94.9","188","3816103202","1265478439","false","true","false","false","20","false","true","62"
"10","55274","443","172.24.21.152","198.199.94.9","189","3816104582","1265478439","false","true","false","false","20","false","true","62"
"11","443","55274","198.199.94.9","172.24.21.152","189","1265478439","3816105695","false","true","false","false","20","true","false","16560"
"12","443","55274","198.199.94.9","172.24.21.152","210","1265478439","3816105695","false","true","false","true","20","true","false","16560"
"13","55274","443","172.24.21.152","198.199.94.9","306","3816105695","1265478565","false","true","false","true","20","false","true","62"
"14","55274","443","172.24.21.152","198.199.94.9","306","3816105953","1265478565","false","true","false","false","20","false","true","62"
"15","443","55274","198.199.94.9","172.24.21.152","306","1265478565","3816106022","false","true","false","false","20","true","false","16478"
"16","443","55274","198.199.94.9","172.24.21.152","532","1265478565","3816106022","false","true","false","false","20","true","false","16478"
"17","443","55274","198.199.94.9","172.24.21.152","532","1265478722","3816106022","false","true","false","false","20","true","false","16478"
"18","443","55274","198.199.94.9","172.24.21.152","532","1265478941","3816106022","false","true","false","false","20","true","false","16478"
"20","55274","443","172.24.21.152","198.199.94.9","656","3816106060","1265478979","false","true","false","false","20","false","true","70"
"21","55274","443","172.24.21.152","198.199.94.9","656","3816106060","1265478979","false","true","false","false","20","false","true","70"
"22","443","55274","198.199.94.9","172.24.21.152","656","1265478979","3816107440","false","true","false","false","20","true","false","16560"
"23","55274","443","172.24.21.152","198.199.94.9","660","3816107440","1265478979","false","true","false","false","20","false","true","70"
"24","55274","443","172.24.21.152","198.199.94.9","663","3816108820","1265478979","false","true","false","false","20","false","true","70"
"25","443","55274","198.199.94.9","172.24.21.152","663","1265478979","3816110200","false","true","false","false","20","true","false","16560"
"26","55274","443","172.24.21.152","198.199.94.9","663","3816110200","1265478979","false","true","false","false","20","false","true","70"
