"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","53163","172.217.5.5","172.24.21.152","0","2166944440","0","true","false","false","false","32","true","false","8192"
"2","53163","443","172.24.21.152","172.217.5.5","5","28942859","2166944441","true","true","false","false","32","false","true","42900"
"3","443","53163","172.217.5.5","172.24.21.152","5","2166944441","28942860","false","true","false","false","20","true","false","4140"
"4","443","53163","172.217.5.5","172.24.21.152","5","2166944441","28942860","false","true","false","true","20","true","false","4140"
"5","53163","443","172.24.21.152","172.217.5.5","12","28942860","2166944624","false","true","false","false","20","false","true","344"
"6","53163","443","172.24.21.152","172.217.5.5","16","28942860","2166944624","false","true","false","true","20","false","true","344"
"7","53163","443","172.24.21.152","172.217.5.5","16","28944240","2166944624","false","true","false","false","20","false","true","344"
"8","443","53163","172.217.5.5","172.24.21.152","16","2166944624","28945620","false","true","false","false","20","true","false","4140"
"9","53163","443","172.24.21.152","172.217.5.5","16","28945620","2166944624","false","true","false","true","20","false","true","344"
"10","443","53163","172.217.5.5","172.24.21.152","21","2166944624","28946373","false","true","false","true","20","true","false","3951"
"11","53163","443","172.24.21.152","172.217.5.5","30","28946373","2166944750","false","true","false","true","20","false","true","344"
"12","53163","443","172.24.21.152","172.217.5.5","30","28946619","2166944750","false","true","false","false","20","false","true","344"
"13","443","53163","172.217.5.5","172.24.21.152","30","2166944750","28946675","false","true","false","false","20","true","false","3876"
"14","53163","443","172.24.21.152","172.217.5.5","30","28946675","2166944750","false","true","false","false","20","false","true","344"
"15","443","53163","172.217.5.5","172.24.21.152","65","2166944750","28946717","false","true","false","false","20","true","false","3865"
"16","443","53163","172.217.5.5","172.24.21.152","65","2166944907","28946717","false","true","false","false","20","true","false","3865"
"17","443","53163","172.217.5.5","172.24.21.152","65","2166945112","28946717","false","true","false","false","20","true","false","3865"
"18","53163","443","172.24.21.152","172.217.5.5","78","28946717","2166945150","false","true","false","false","20","false","true","361"
"19","53163","443","172.24.21.152","172.217.5.5","78","28946717","2166945150","false","true","false","false","20","false","true","361"
"20","53163","443","172.24.21.152","172.217.5.5","78","28946755","2166945150","false","true","false","false","20","false","true","361"
