"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","80","54200","172.217.5.4","172.24.21.152","0","491875923","0","true","false","false","false","32","true","false","8192"
"2","54200","80","172.24.21.152","172.217.5.4","9","3237035637","491875924","true","true","false","false","32","false","true","42900"
"3","80","54200","172.217.5.4","172.24.21.152","9","491875924","3237035638","false","true","false","false","20","true","false","4140"
"4","80","54200","172.217.5.4","172.24.21.152","9","491875924","3237035638","false","true","false","false","20","true","false","4140"
"5","54200","80","172.24.21.152","172.217.5.4","18","3237035638","491876519","false","true","false","false","20","false","true","345"
"6","54200","80","172.24.21.152","172.217.5.4","44","3237035638","491876519","false","true","false","false","20","false","true","345"
"28","80","54200","172.217.5.4","172.24.21.152","250","491876519","3237036476","false","true","false","false","20","true","false","3930"
"29","54200","80","172.24.21.152","172.217.5.4","251","3237035638","491876519","false","true","false","false","20","false","true","345"
"30","80","54200","172.217.5.4","172.24.21.152","251","491876519","3237036476","false","true","false","false","32","true","false","3930"
"380","54200","80","172.24.21.152","172.217.5.4","10057","3237036476","491876519","false","true","false","false","32","false","true","345"
"382","54200","80","172.24.21.152","172.217.5.4","20074","3237036476","491876519","false","true","false","false","32","false","true","345"
"384","54200","80","172.24.21.152","172.217.5.4","30084","3237036476","491876519","false","true","false","false","32","false","true","345"
"386","54200","80","172.24.21.152","172.217.5.4","40100","3237036476","491876519","false","true","false","false","32","false","true","345"
"390","54200","80","172.24.21.152","172.217.5.4","52276","3237036476","491876519","false","true","false","false","32","false","true","345"
"391","54200","80","172.24.21.152","172.217.5.4","52277","3237036476","491876519","false","true","false","false","32","false","true","345"
"392","54200","80","172.24.21.152","172.217.5.4","52277","3237036476","491876519","false","true","false","false","32","false","true","345"
"394","54200","80","172.24.21.152","172.217.5.4","62287","3237036476","491876519","false","true","false","false","32","false","true","345"
"405","54200","80","172.24.21.152","172.217.5.4","72294","3237036476","491876519","false","true","false","false","32","false","true","345"
"407","54200","80","172.24.21.152","172.217.5.4","82304","3237036476","491876519","false","true","false","false","32","false","true","345"
"409","54200","80","172.24.21.152","172.217.5.4","92312","3237036476","491876519","false","true","false","false","32","false","true","345"
"411","54200","80","172.24.21.152","172.217.5.4","102330","3237036476","491876519","false","true","false","false","32","false","true","345"
"413","54200","80","172.24.21.152","172.217.5.4","112335","3237036476","491876519","false","true","false","false","32","false","true","345"
"414","80","54200","172.217.5.4","172.24.21.152","115781","491876519","3237036476","false","true","true","false","20","true","false","3930"
"415","54200","80","172.24.21.152","172.217.5.4","115790","3237036476","491876520","false","true","true","false","20","false","true","345"
"416","80","54200","172.217.5.4","172.24.21.152","115790","491876520","3237036477","false","true","false","false","20","true","false","3930"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","443","54201","172.217.5.4","172.24.21.152","51","4122855394","0","true","false","false","false","32","true","false","8192"
"8","54201","443","172.24.21.152","172.217.5.4","58","3820527583","4122855395","true","true","false","false","32","false","true","42900"
"9","443","54201","172.217.5.4","172.24.21.152","58","4122855395","3820527584","false","true","false","false","20","true","false","4140"
"10","443","54201","172.217.5.4","172.24.21.152","58","4122855395","3820527584","false","true","false","true","20","true","false","4140"
"11","54201","443","172.24.21.152","172.217.5.4","66","3820527584","4122855583","false","true","false","false","20","false","true","344"
"12","54201","443","172.24.21.152","172.217.5.4","69","3820527584","4122855583","false","true","false","true","20","false","true","344"
"13","54201","443","172.24.21.152","172.217.5.4","69","3820528964","4122855583","false","true","false","false","20","false","true","344"
"14","443","54201","172.217.5.4","172.24.21.152","69","4122855583","3820530344","false","true","false","false","20","true","false","4140"
"15","54201","443","172.24.21.152","172.217.5.4","70","3820530344","4122855583","false","true","false","false","20","false","true","344"
"16","443","54201","172.217.5.4","172.24.21.152","78","4122855583","3820531094","false","true","false","true","20","true","false","3952"
"17","443","54201","172.217.5.4","172.24.21.152","79","4122855709","3820531094","false","true","false","false","20","true","false","3952"
"18","443","54201","172.217.5.4","172.24.21.152","79","4122855866","3820531094","false","true","false","false","20","true","false","3952"
"19","54201","443","172.24.21.152","172.217.5.4","86","3820531094","4122856492","false","true","false","false","20","false","true","362"
"20","54201","443","172.24.21.152","172.217.5.4","86","3820531094","4122856492","false","true","false","true","20","false","true","362"
"21","54201","443","172.24.21.152","172.217.5.4","86","3820531340","4122856492","false","true","false","false","20","false","true","362"
"22","443","54201","172.217.5.4","172.24.21.152","86","4122856492","3820531396","false","true","false","false","20","true","false","3877"
"23","443","54201","172.217.5.4","172.24.21.152","87","4122856492","3820531396","false","true","false","false","20","true","false","3877"
"26","443","54201","172.217.5.4","172.24.21.152","89","4122856530","3820531476","false","true","false","false","20","true","false","3857"
"27","54201","443","172.24.21.152","172.217.5.4","134","3820531476","4122856530","false","true","false","false","20","false","true","362"
"31","54201","443","172.24.21.152","172.217.5.4","363","3820531476","4122856530","false","true","false","false","20","false","true","362"
"32","54201","443","172.24.21.152","172.217.5.4","363","3820532048","4122856530","false","true","false","false","20","false","true","362"
"33","443","54201","172.217.5.4","172.24.21.152","363","4122856530","3820533428","false","true","false","false","20","true","false","4140"
"34","54201","443","172.24.21.152","172.217.5.4","363","3820533428","4122856530","false","true","false","false","20","false","true","362"
"35","54201","443","172.24.21.152","172.217.5.4","363","3820534808","4122856530","false","true","false","false","20","false","true","362"
"36","443","54201","172.217.5.4","172.24.21.152","363","4122856530","3820536188","false","true","false","false","20","true","false","4140"
"37","54201","443","172.24.21.152","172.217.5.4","363","3820536188","4122856530","false","true","false","false","20","false","true","362"
"38","54201","443","172.24.21.152","172.217.5.4","363","3820537568","4122856530","false","true","false","false","20","false","true","362"
"39","443","54201","172.217.5.4","172.24.21.152","363","4122856530","3820538948","false","true","false","false","20","true","false","4140"
"40","54201","443","172.24.21.152","172.217.5.4","363","3820538948","4122856530","false","true","false","false","20","false","true","362"
"41","54201","443","172.24.21.152","172.217.5.4","363","3820540328","4122856530","false","true","false","false","20","false","true","362"
"42","443","54201","172.217.5.4","172.24.21.152","363","4122856530","3820541708","false","true","false","false","20","true","false","4140"
"43","54201","443","172.24.21.152","172.217.5.4","364","3820541708","4122856530","false","true","false","false","20","false","true","362"
"44","54201","443","172.24.21.152","172.217.5.4","364","3820543088","4122856530","false","true","false","false","20","false","true","362"
