"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","53103","172.217.4.196","172.24.21.152","0","2024063234","0","true","false","false","false","32","true","false","8192"
"2","53103","443","172.24.21.152","172.217.4.196","11","493142632","2024063235","true","true","false","false","32","false","true","42900"
"3","443","53103","172.217.4.196","172.24.21.152","11","2024063235","493142633","false","true","false","false","20","true","false","4140"
"4","443","53103","172.217.4.196","172.24.21.152","12","2024063235","493142633","false","true","false","true","20","true","false","4140"
"5","53103","443","172.24.21.152","172.217.4.196","22","493142633","2024063423","false","true","false","false","20","false","true","344"
"6","53103","443","172.24.21.152","172.217.4.196","22","493142633","2024063423","false","true","false","true","20","false","true","344"
"7","53103","443","172.24.21.152","172.217.4.196","26","493144013","2024063423","false","true","false","false","20","false","true","344"
"8","443","53103","172.217.4.196","172.24.21.152","26","2024063423","493145393","false","true","false","false","20","true","false","4140"
"9","53103","443","172.24.21.152","172.217.4.196","26","493145393","2024063423","false","true","false","false","20","false","true","344"
"10","443","53103","172.217.4.196","172.24.21.152","35","2024063423","493146143","false","true","false","true","20","true","false","3952"
"11","443","53103","172.217.4.196","172.24.21.152","36","2024063549","493146143","false","true","false","false","20","true","false","3952"
"12","443","53103","172.217.4.196","172.24.21.152","36","2024063706","493146143","false","true","false","false","20","true","false","3952"
"13","53103","443","172.24.21.152","172.217.4.196","48","493146143","2024064289","false","true","false","false","20","false","true","362"
"14","53103","443","172.24.21.152","172.217.4.196","48","493146143","2024064289","false","true","false","true","20","false","true","362"
"15","53103","443","172.24.21.152","172.217.4.196","48","493146389","2024064289","false","true","false","false","20","false","true","362"
"16","443","53103","172.217.4.196","172.24.21.152","48","2024064289","493146445","false","true","false","false","20","true","false","3877"
"17","53103","443","172.24.21.152","172.217.4.196","48","493146445","2024064289","false","true","false","false","20","false","true","362"
"18","53103","443","172.24.21.152","172.217.4.196","48","493146487","2024064289","false","true","false","false","20","false","true","362"
"19","443","53103","172.217.4.196","172.24.21.152","48","2024064289","493146525","false","true","false","false","20","true","false","3857"
"20","443","53103","172.217.4.196","172.24.21.152","48","2024064289","493146525","false","true","false","false","20","true","false","3857"
"21","53103","443","172.24.21.152","172.217.4.196","95","493146525","2024064327","false","true","false","false","20","false","true","362"
"22","53103","443","172.24.21.152","172.217.4.196","151","493146525","2024064327","false","true","false","false","20","false","true","362"
"23","53103","443","172.24.21.152","172.217.4.196","160","493147067","2024064327","false","true","false","false","20","false","true","362"
"24","443","53103","172.217.4.196","172.24.21.152","160","2024064327","493148447","false","true","false","false","20","true","false","4140"
"25","53103","443","172.24.21.152","172.217.4.196","160","493148447","2024064327","false","true","false","false","20","false","true","362"
"26","53103","443","172.24.21.152","172.217.4.196","160","493149827","2024064327","false","true","false","false","20","false","true","362"
"27","443","53103","172.217.4.196","172.24.21.152","160","2024064327","493151207","false","true","false","false","20","true","false","4140"
"28","53103","443","172.24.21.152","172.217.4.196","160","493151207","2024064327","false","true","false","false","20","false","true","362"
"29","53103","443","172.24.21.152","172.217.4.196","160","493152587","2024064327","false","true","false","false","20","false","true","362"
"30","443","53103","172.217.4.196","172.24.21.152","160","2024064327","493153967","false","true","false","false","20","true","false","4140"
"31","53103","443","172.24.21.152","172.217.4.196","160","493153967","2024064327","false","true","false","false","20","false","true","362"
"32","53103","443","172.24.21.152","172.217.4.196","160","493155347","2024064327","false","true","false","false","20","false","true","362"
"33","443","53103","172.217.4.196","172.24.21.152","160","2024064327","493156727","false","true","false","false","20","true","false","4140"
"34","53103","443","172.24.21.152","172.217.4.196","160","493156727","2024064327","false","true","false","false","20","false","true","362"
"35","53103","443","172.24.21.152","172.217.4.196","160","493158107","2024064327","false","true","false","false","20","false","true","362"
"36","443","53103","172.217.4.196","172.24.21.152","160","2024064327","493159487","false","true","false","false","20","true","false","4140"
"37","53103","443","172.24.21.152","172.217.4.196","160","493159487","2024064327","false","true","false","false","20","false","true","362"
"38","53103","443","172.24.21.152","172.217.4.196","160","493160423","2024064327","false","true","false","false","20","false","true","362"
"39","443","53103","172.217.4.196","172.24.21.152","160","2024064327","493161803","false","true","false","false","20","true","false","4140"
"40","53103","443","172.24.21.152","172.217.4.196","170","493161803","2024064327","false","true","false","false","20","false","true","362"
"41","53103","443","172.24.21.152","172.217.4.196","170","493163183","2024064327","false","true","false","false","20","false","true","362"
"42","443","53103","172.217.4.196","172.24.21.152","170","2024064327","493164563","false","true","false","false","20","true","false","4140"
"43","53103","443","172.24.21.152","172.217.4.196","170","493164563","2024064327","false","true","false","false","20","false","true","362"
"44","53103","443","172.24.21.152","172.217.4.196","170","493165007","2024064327","false","true","false","false","20","false","true","362"
"45","443","53103","172.217.4.196","172.24.21.152","170","2024064327","493166387","false","true","false","false","20","true","false","4140"
"46","53103","443","172.24.21.152","172.217.4.196","170","493166387","2024064327","false","true","false","false","20","false","true","362"
"47","53103","443","172.24.21.152","172.217.4.196","170","493167767","2024064327","false","true","false","false","20","false","true","362"
"48","443","53103","172.217.4.196","172.24.21.152","170","2024064327","493169147","false","true","false","false","20","true","false","4140"
"49","53103","443","172.24.21.152","172.217.4.196","170","493169147","2024064327","false","true","false","false","20","false","true","362"
"50","53103","443","172.24.21.152","172.217.4.196","173","493170083","2024064327","false","true","false","false","20","false","true","362"
"51","443","53103","172.217.4.196","172.24.21.152","173","2024064327","493171463","false","true","false","false","20","true","false","65205"
"52","53103","443","172.24.21.152","172.217.4.196","173","493171463","2024064327","false","true","false","false","20","false","true","362"
"53","53103","443","172.24.21.152","172.217.4.196","173","493172843","2024064327","false","true","false","false","20","false","true","362"
