"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","80","52216","108.174.10.10","172.24.21.152","0","117701441","0","true","false","false","false","32","true","false","8192"
"2","52216","80","172.24.21.152","108.174.10.10","14","2622929977","117701442","true","true","false","false","32","false","true","64240"
"3","80","52216","108.174.10.10","172.24.21.152","15","117701442","2622929978","false","true","false","false","20","true","false","4140"
"143","80","52216","108.174.10.10","172.24.21.152","5207","117701442","2622929978","false","true","true","false","20","true","false","4140"
"144","52216","80","172.24.21.152","108.174.10.10","5222","2622929978","117701443","false","true","true","false","20","false","true","16"
"145","80","52216","108.174.10.10","172.24.21.152","5222","117701443","2622929979","false","true","false","false","20","true","false","4140"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","443","52217","108.174.10.10","172.24.21.152","30","2362068794","0","true","false","false","false","32","true","false","8192"
"5","52217","443","172.24.21.152","108.174.10.10","45","1234819736","2362068795","true","true","false","false","32","false","true","64240"
"6","443","52217","108.174.10.10","172.24.21.152","45","2362068795","1234819737","false","true","false","false","20","true","false","4140"
"7","443","52217","108.174.10.10","172.24.21.152","46","2362068795","1234819737","false","true","false","true","20","true","false","4140"
"8","52217","443","172.24.21.152","108.174.10.10","58","1234819737","2362068985","false","true","false","false","20","false","true","16"
"9","52217","443","172.24.21.152","108.174.10.10","62","1234819737","2362068985","false","true","false","true","20","false","true","16"
"10","52217","443","172.24.21.152","108.174.10.10","62","1234821117","2362068985","false","true","false","false","20","false","true","16"
"11","443","52217","108.174.10.10","172.24.21.152","62","2362068985","1234822497","false","true","false","false","20","true","false","4140"
"12","52217","443","172.24.21.152","108.174.10.10","63","1234822497","2362068985","false","true","false","false","20","false","true","16"
"13","443","52217","108.174.10.10","172.24.21.152","68","2362068985","1234822715","false","true","false","true","20","true","false","4085"
"14","52217","443","172.24.21.152","108.174.10.10","83","1234822715","2362069111","false","true","false","false","20","false","true","16"
"15","52217","443","172.24.21.152","108.174.10.10","83","1234822766","2362069111","false","true","false","false","20","false","true","16"
"16","443","52217","108.174.10.10","172.24.21.152","83","2362069111","1234822839","false","true","false","false","20","true","false","4054"
"17","443","52217","108.174.10.10","172.24.21.152","205","2362069111","1234822839","false","true","false","false","20","true","false","4054"
"18","443","52217","108.174.10.10","172.24.21.152","205","2362069176","1234822839","false","true","false","false","20","true","false","4054"
"19","443","52217","108.174.10.10","172.24.21.152","205","2362070556","1234822839","false","true","false","false","20","true","false","4054"
"21","52217","443","172.24.21.152","108.174.10.10","259","1234822839","2362070822","false","true","false","false","20","false","true","16"
"22","52217","443","172.24.21.152","108.174.10.10","388","1234822839","2362070822","false","true","false","false","20","false","true","16"
"23","52217","443","172.24.21.152","108.174.10.10","388","1234824219","2362070822","false","true","false","false","20","false","true","16"
"24","443","52217","108.174.10.10","172.24.21.152","388","2362070822","1234825599","false","true","false","false","20","true","false","4140"
"25","52217","443","172.24.21.152","108.174.10.10","388","1234825599","2362070822","false","true","false","false","20","false","true","16"
"26","443","52217","108.174.10.10","172.24.21.152","587","2362070822","1234825798","false","true","false","false","20","true","false","4090"
"27","52217","443","172.24.21.152","108.174.10.10","596","1234825798","2362070822","false","true","false","false","20","false","true","16"
"28","52217","443","172.24.21.152","108.174.10.10","596","1234826949","2362070822","false","true","false","false","20","false","true","16"
"29","443","52217","108.174.10.10","172.24.21.152","596","2362070822","1234828329","false","true","false","false","20","true","false","4140"
"30","52217","443","172.24.21.152","108.174.10.10","596","1234828329","2362070822","false","true","false","false","20","false","true","16"
"31","52217","443","172.24.21.152","108.174.10.10","596","1234829709","2362070822","false","true","false","false","20","false","true","16"
"32","443","52217","108.174.10.10","172.24.21.152","596","2362070822","1234831089","false","true","false","false","20","true","false","4140"
"33","52217","443","172.24.21.152","108.174.10.10","596","1234831089","2362070822","false","true","false","false","20","false","true","16"
"34","52217","443","172.24.21.152","108.174.10.10","596","1234832469","2362070822","false","true","false","false","20","false","true","16"
"35","443","52217","108.174.10.10","172.24.21.152","596","2362070822","1234833849","false","true","false","false","20","true","false","4140"
"36","52217","443","172.24.21.152","108.174.10.10","596","1234833849","2362070822","false","true","false","false","20","false","true","16"
"37","52217","443","172.24.21.152","108.174.10.10","596","1234835229","2362070822","false","true","false","false","20","false","true","16"
"38","443","52217","108.174.10.10","172.24.21.152","596","2362070822","1234836609","false","true","false","false","20","true","false","4140"
"39","52217","443","172.24.21.152","108.174.10.10","596","1234836609","2362070822","false","true","false","false","20","false","true","16"
"40","52217","443","172.24.21.152","108.174.10.10","604","1234837989","2362070822","false","true","false","false","20","false","true","16"
"41","443","52217","108.174.10.10","172.24.21.152","604","2362070822","1234839369","false","true","false","false","20","true","false","4140"
"42","52217","443","172.24.21.152","108.174.10.10","604","1234839369","2362070822","false","true","false","false","20","false","true","16"
"43","52217","443","172.24.21.152","108.174.10.10","610","1234840749","2362070822","false","true","false","false","20","false","true","16"
"44","443","52217","108.174.10.10","172.24.21.152","610","2362070822","1234842129","false","true","false","false","20","true","false","4140"
"45","52217","443","172.24.21.152","108.174.10.10","610","1234842129","2362070822","false","true","false","false","20","false","true","16"
"46","52217","443","172.24.21.152","108.174.10.10","610","1234843509","2362070822","false","true","false","false","20","false","true","16"
"47","443","52217","108.174.10.10","172.24.21.152","610","2362070822","1234844889","false","true","false","false","20","true","false","4140"
"48","52217","443","172.24.21.152","108.174.10.10","610","1234844889","2362070822","false","true","false","false","20","false","true","16"
"49","52217","443","172.24.21.152","108.174.10.10","610","1234846269","2362070822","false","true","false","false","20","false","true","16"
"50","443","52217","108.174.10.10","172.24.21.152","610","2362070822","1234846836","false","true","false","false","20","true","false","4140"
"51","52217","443","172.24.21.152","108.174.10.10","797","1234846836","2362070822","false","true","false","false","20","false","true","16"
"52","52217","443","172.24.21.152","108.174.10.10","797","1234847719","2362070822","false","true","false","false","20","false","true","16"
"53","443","52217","108.174.10.10","172.24.21.152","797","2362070822","1234848649","false","true","false","false","20","true","false","4140"
"54","52217","443","172.24.21.152","108.174.10.10","797","1234848649","2362070822","false","true","false","false","20","false","true","16"
"55","52217","443","172.24.21.152","108.174.10.10","797","1234850029","2362070822","false","true","false","false","20","false","true","16"
"56","443","52217","108.174.10.10","172.24.21.152","797","2362070822","1234851409","false","true","false","false","20","true","false","4140"
"57","52217","443","172.24.21.152","108.174.10.10","797","1234851409","2362070822","false","true","false","false","20","false","true","16"
"58","52217","443","172.24.21.152","108.174.10.10","797","1234852789","2362070822","false","true","false","false","20","false","true","16"
"59","443","52217","108.174.10.10","172.24.21.152","797","2362070822","1234854169","false","true","false","false","20","true","false","4140"
"60","52217","443","172.24.21.152","108.174.10.10","805","1234854169","2362070822","false","true","false","false","20","false","true","16"
"61","52217","443","172.24.21.152","108.174.10.10","811","1234855549","2362070822","false","true","false","false","20","false","true","16"
"62","443","52217","108.174.10.10","172.24.21.152","811","2362070822","1234855893","false","true","false","false","20","true","false","4140"
"63","52217","443","172.24.21.152","108.174.10.10","1315","1234855893","2362070822","false","true","false","false","20","false","true","16"
"64","52217","443","172.24.21.152","108.174.10.10","1315","1234856085","2362070822","false","true","false","false","20","false","true","16"
"65","443","52217","108.174.10.10","172.24.21.152","1315","2362070822","1234857401","false","true","false","false","20","true","false","4140"
"66","52217","443","172.24.21.152","108.174.10.10","1315","1234857401","2362070822","false","true","false","false","20","false","true","16"
