"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","58025","172.217.4.206","172.24.17.216","0","2033943096","0","true","false","false","false","32","true","false","8192"
"3","58025","443","172.24.17.216","172.217.4.206","352","2069713616","2033943097","true","true","false","false","32","false","true","42900"
"4","443","58025","172.217.4.206","172.24.17.216","352","2033943097","2069713617","false","true","false","false","20","true","false","16560"
"5","443","58025","172.217.4.206","172.24.17.216","353","2033943097","2069713617","false","true","false","true","20","true","false","16560"
"9","443","58025","172.217.4.206","172.24.17.216","353","2033943291","2069713617","false","true","false","false","32","true","false","16560"
"11","58025","443","172.24.17.216","172.217.4.206","368","2069713617","2033943291","false","true","false","false","20","false","true","344"
"17","58025","443","172.24.17.216","172.217.4.206","434","2069713617","2033943291","false","true","false","true","20","false","true","344"
"18","58025","443","172.24.17.216","172.217.4.206","435","2069714997","2033943291","false","true","false","false","20","false","true","344"
"19","443","58025","172.217.4.206","172.24.17.216","435","2033943291","2069716377","false","true","false","false","20","true","false","16560"
"20","58025","443","172.24.17.216","172.217.4.206","435","2069716377","2033943291","false","true","false","false","20","false","true","344"
"23","443","58025","172.217.4.206","172.24.17.216","494","2033943291","2069717572","false","true","false","true","20","true","false","16261"
"25","443","58025","172.217.4.206","172.24.17.216","495","2033943417","2069717572","false","true","false","false","20","true","false","16261"
"26","443","58025","172.217.4.206","172.24.17.216","495","2033943574","2069717572","false","true","false","false","20","true","false","16261"
"34","443","58025","172.217.4.206","172.24.17.216","559","2033944875","2069717890","false","true","false","false","20","true","false","16560"
"35","443","58025","172.217.4.206","172.24.17.216","559","2033944875","2069717890","false","true","false","false","20","true","false","16560"
"38","443","58025","172.217.4.206","172.24.17.216","561","2033944913","2069717970","false","true","false","false","20","true","false","16540"
"42","443","58025","172.217.4.206","172.24.17.216","562","2033944913","2069719703","false","true","false","false","20","true","false","16560"
"45","443","58025","172.217.4.206","172.24.17.216","567","2033944913","2069720520","false","true","false","false","20","true","false","16355"
"46","58025","443","172.24.17.216","172.217.4.206","567","2069720520","2033944913","false","true","false","false","20","false","true","373"
"47","443","58025","172.217.4.206","172.24.17.216","567","2033944913","2069720520","false","true","false","false","20","true","false","16355"
"48","58025","443","172.24.17.216","172.217.4.206","574","2069720520","2033944959","false","true","false","false","20","false","true","373"
"50","443","58025","172.217.4.206","172.24.17.216","5647","2033944959","2069720520","false","true","false","false","20","true","false","16355"
"51","58025","443","172.24.17.216","172.217.4.206","5881","2069720520","2033945310","false","true","false","false","20","false","true","393"
"52","58025","443","172.24.17.216","172.217.4.206","5882","2069720520","2033945310","false","true","false","false","20","false","true","393"
"53","58025","443","172.24.17.216","172.217.4.206","5882","2069720622","2033945310","false","true","false","false","20","false","true","393"
"54","443","58025","172.217.4.206","172.24.17.216","5882","2033945310","2069720660","false","true","false","false","20","true","false","16320"
"55","58025","443","172.24.17.216","172.217.4.206","5883","2069720660","2033945310","false","true","false","false","20","false","true","393"
"56","443","58025","172.217.4.206","172.24.17.216","5883","2033945310","2069720706","false","true","false","false","20","true","false","16309"
"58","443","58025","172.217.4.206","172.24.17.216","5883","2033945356","2069720706","false","true","false","false","32","true","false","16309"
"59","58025","443","172.24.17.216","172.217.4.206","5964","2069720706","2033945356","false","true","false","false","20","false","true","393"
"69","443","58025","172.217.4.206","172.24.17.216","65693","2033945356","2069720706","false","true","false","false","20","true","false","16309"
"70","58025","443","172.24.17.216","172.217.4.206","66501","2069720706","2033945402","false","true","false","false","20","false","true","393"
"71","443","58025","172.217.4.206","172.24.17.216","66502","2033945402","2069720766","false","true","false","false","20","true","false","16294"
"72","443","58025","172.217.4.206","172.24.17.216","66502","2033945448","2069720766","false","true","false","false","20","true","false","16294"
"73","443","58025","172.217.4.206","172.24.17.216","66502","2033945479","2069720766","false","true","true","false","20","true","false","16294"
"75","443","58025","172.217.4.206","172.24.17.216","66555","2033945480","2069720767","false","true","false","false","20","true","false","16294"
"77","58025","443","172.24.17.216","172.217.4.206","66657","2069720767","2033945480","false","true","false","false","20","false","true","16294"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","443","58026","172.217.4.206","172.24.17.216","251","669152443","0","true","false","false","false","32","true","false","8192"
"6","58026","443","172.24.17.216","172.217.4.206","353","811457617","669152444","true","true","false","false","32","false","true","42900"
"7","443","58026","172.217.4.206","172.24.17.216","353","669152444","811457618","false","true","false","false","20","true","false","16560"
"10","443","58026","172.217.4.206","172.24.17.216","353","669152444","811457618","false","true","false","true","20","true","false","16560"
"12","58026","443","172.24.17.216","172.217.4.206","432","811457618","669152638","false","true","false","false","20","false","true","344"
"13","58026","443","172.24.17.216","172.217.4.206","433","811457618","669152638","false","true","false","true","20","false","true","344"
"14","58026","443","172.24.17.216","172.217.4.206","433","811458998","669152638","false","true","false","false","20","false","true","344"
"15","443","58026","172.217.4.206","172.24.17.216","433","669152638","811460378","false","true","false","false","20","true","false","16560"
"16","58026","443","172.24.17.216","172.217.4.206","434","811460378","669152638","false","true","false","false","20","false","true","344"
"21","443","58026","172.217.4.206","172.24.17.216","470","669152638","811461574","false","true","false","true","20","true","false","16261"
"22","58026","443","172.24.17.216","172.217.4.206","485","811461574","669152764","false","true","false","true","20","false","true","344"
"24","443","58026","172.217.4.206","172.24.17.216","494","669152764","811461836","false","true","false","false","20","true","false","16560"
"28","443","58026","172.217.4.206","172.24.17.216","557","669152921","811461892","false","true","false","false","20","true","false","16546"
