"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","52480","199.16.156.230","172.24.21.152","0","3800266529","0","true","false","false","false","32","true","false","8192"
"2","52480","443","172.24.21.152","199.16.156.230","28","3198275032","3800266530","true","true","false","false","32","false","true","29200"
"3","443","52480","199.16.156.230","172.24.21.152","28","3800266530","3198275033","false","true","false","false","20","true","false","16560"
"4","443","52480","199.16.156.230","172.24.21.152","28","3800266530","3198275033","false","true","false","true","20","true","false","16560"
"5","52480","443","172.24.21.152","199.16.156.230","55","3198275033","3800266715","false","true","false","false","20","false","true","119"
"6","52480","443","172.24.21.152","199.16.156.230","55","3198275033","3800266715","false","true","false","true","20","false","true","119"
"7","52480","443","172.24.21.152","199.16.156.230","55","3198276413","3800266715","false","true","false","false","20","false","true","119"
"8","443","52480","199.16.156.230","172.24.21.152","55","3800266715","3198277793","false","true","false","false","20","true","false","16560"
"9","52480","443","172.24.21.152","199.16.156.230","55","3198277793","3800266715","false","true","false","false","20","false","true","119"
"10","443","52480","199.16.156.230","172.24.21.152","61","3800266715","3198278636","false","true","false","true","20","true","false","16349"
"11","443","52480","199.16.156.230","172.24.21.152","61","3800266841","3198278636","false","true","false","false","20","true","false","16349"
"12","443","52480","199.16.156.230","172.24.21.152","61","3800266998","3198278636","false","true","false","false","20","true","false","16349"
"13","52480","443","172.24.21.152","199.16.156.230","91","3198278636","3800267282","false","true","false","false","20","false","true","127"
"14","52480","443","172.24.21.152","199.16.156.230","91","3198278636","3800267282","false","true","false","true","20","false","true","127"
"15","52480","443","172.24.21.152","199.16.156.230","91","3198278878","3800267282","false","true","false","false","20","false","true","127"
"16","443","52480","199.16.156.230","172.24.21.152","91","3800267282","3198278922","false","true","false","false","20","true","false","16277"
"17","52480","443","172.24.21.152","199.16.156.230","91","3198278922","3800267282","false","true","false","false","20","false","true","127"
"18","52480","443","172.24.21.152","199.16.156.230","91","3198278960","3800267282","false","true","false","false","20","false","true","127"
"19","443","52480","199.16.156.230","172.24.21.152","91","3800267282","3198279170","false","true","false","false","20","true","false","16215"
"20","443","52480","199.16.156.230","172.24.21.152","91","3800267282","3198279170","false","true","false","false","20","true","false","16215"
"21","52480","443","172.24.21.152","199.16.156.230","159","3198279170","3800267320","false","true","false","false","20","false","true","127"
"22","52480","443","172.24.21.152","199.16.156.230","489","3198279170","3800267320","false","true","false","false","20","false","true","127"
"23","52480","443","172.24.21.152","199.16.156.230","496","3198280550","3800267320","false","true","false","false","20","false","true","127"
"24","443","52480","199.16.156.230","172.24.21.152","496","3800267320","3198281530","false","true","false","false","20","true","false","16560"
"25","52480","443","172.24.21.152","199.16.156.230","505","3198281530","3800267320","false","true","false","false","20","false","true","127"
"26","52480","443","172.24.21.152","199.16.156.230","505","3198282910","3800267320","false","true","false","false","20","false","true","127"
"27","443","52480","199.16.156.230","172.24.21.152","505","3800267320","3198284290","false","true","false","false","20","true","false","16560"
"28","52480","443","172.24.21.152","199.16.156.230","505","3198284290","3800267320","false","true","false","false","20","false","true","127"
"29","52480","443","172.24.21.152","199.16.156.230","505","3198285486","3800267320","false","true","false","false","20","false","true","127"
"30","443","52480","199.16.156.230","172.24.21.152","505","3800267320","3198286866","false","true","false","false","20","true","false","16560"
"31","52480","443","172.24.21.152","199.16.156.230","505","3198286866","3800267320","false","true","false","false","20","false","true","127"
"32","52480","443","172.24.21.152","199.16.156.230","505","3198288246","3800267320","false","true","false","false","20","false","true","127"
"33","443","52480","199.16.156.230","172.24.21.152","505","3800267320","3198289626","false","true","false","false","20","true","false","16560"
"34","52480","443","172.24.21.152","199.16.156.230","505","3198289626","3800267320","false","true","false","false","20","false","true","127"
"35","52480","443","172.24.21.152","199.16.156.230","505","3198291006","3800267320","false","true","false","false","20","false","true","127"
"36","443","52480","199.16.156.230","172.24.21.152","505","3800267320","3198292386","false","true","false","false","20","true","false","16215"
"37","443","52480","199.16.156.230","172.24.21.152","505","3800267320","3198292386","false","true","false","false","20","true","false","16560"
"38","443","52480","199.16.156.230","172.24.21.152","520","3800267320","3198292386","false","true","false","false","20","true","false","16560"
"39","443","52480","199.16.156.230","172.24.21.152","520","3800267781","3198292386","false","true","false","false","20","true","false","16560"
"42","443","52480","199.16.156.230","172.24.21.152","569","3800268174","3198295146","false","true","false","false","20","true","false","16560"
"45","443","52480","199.16.156.230","172.24.21.152","588","3800268174","3198297906","false","true","false","false","20","true","false","16560"
"48","443","52480","199.16.156.230","172.24.21.152","589","3800268174","3198300666","false","true","false","false","20","true","false","16560"
"51","443","52480","199.16.156.230","172.24.21.152","589","3800268174","3198303426","false","true","false","false","20","true","false","16560"
"54","443","52480","199.16.156.230","172.24.21.152","589","3800268174","3198306186","false","true","false","false","20","true","false","15870"
"57","443","52480","199.16.156.230","172.24.21.152","589","3800268174","3198308946","false","true","false","false","20","true","false","15180"
"60","52480","443","172.24.21.152","199.16.156.230","589","3198309699","3800268174","false","true","false","false","20","false","true","135"
"61","52480","443","172.24.21.152","199.16.156.230","589","3198309699","3800268174","false","true","false","false","20","false","true","135"
"62","443","52480","199.16.156.230","172.24.21.152","589","3800268174","3198309902","false","true","false","false","20","true","false","14941"
"63","443","52480","199.16.156.230","172.24.21.152","589","3800268174","3198309902","false","true","false","false","20","true","false","15809"
"64","443","52480","199.16.156.230","172.24.21.152","589","3800268174","3198309902","false","true","false","false","20","true","false","16560"
"65","52480","443","172.24.21.152","199.16.156.230","639","3198309699","3800268174","false","true","false","false","20","false","true","135"
"66","443","52480","199.16.156.230","172.24.21.152","639","3800268174","3198309902","false","true","false","false","32","true","false","16560"
"67","443","52480","199.16.156.230","172.24.21.152","4069","3800268174","3198309902","false","true","false","false","20","true","false","16560"
"68","443","52480","199.16.156.230","172.24.21.152","4069","3800268272","3198309902","false","true","false","false","20","true","false","16560"
"70","52480","443","172.24.21.152","199.16.156.230","4104","3198309902","3800268486","false","true","false","false","20","false","true","140"
"71","52480","443","172.24.21.152","199.16.156.230","4121","3198309902","3800268486","false","true","false","false","20","false","true","140"
"72","52480","443","172.24.21.152","199.16.156.230","4121","3198310064","3800268486","false","true","false","false","20","false","true","140"
"73","443","52480","199.16.156.230","172.24.21.152","4121","3800268486","3198310501","false","true","false","false","20","true","false","16410"
"102","443","52480","199.16.156.230","172.24.21.152","62194","3800268486","3198310501","false","true","false","false","20","true","false","16410"
"103","52480","443","172.24.21.152","199.16.156.230","62261","3198310501","3800268532","false","true","false","false","20","false","true","140"
"104","443","52480","199.16.156.230","172.24.21.152","62461","3800268532","3198310547","false","true","false","false","20","true","false","16398"
