"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","53131","208.80.154.224","172.24.21.152","0","3039581619","0","true","false","false","false","32","true","false","8192"
"2","53131","443","172.24.21.152","208.80.154.224","14","4156399931","3039581620","true","true","false","false","32","false","true","29200"
"3","443","53131","208.80.154.224","172.24.21.152","14","3039581620","4156399932","false","true","false","false","20","true","false","4140"
"4","443","53131","208.80.154.224","172.24.21.152","15","3039581620","4156399932","false","true","false","true","20","true","false","4140"
"5","53131","443","172.24.21.152","208.80.154.224","28","4156399932","3039581810","false","true","false","false","20","false","true","60"
"6","53131","443","172.24.21.152","208.80.154.224","28","4156399932","3039581810","false","true","false","true","20","false","true","60"
"7","53131","443","172.24.21.152","208.80.154.224","28","4156401312","3039581810","false","true","false","false","20","false","true","60"
"8","443","53131","208.80.154.224","172.24.21.152","28","3039581810","4156402692","false","true","false","false","20","true","false","4140"
"9","53131","443","172.24.21.152","208.80.154.224","28","4156402692","3039581810","false","true","false","false","20","false","true","60"
"10","53131","443","172.24.21.152","208.80.154.224","28","4156404072","3039581810","false","true","false","false","20","false","true","60"
"11","443","53131","208.80.154.224","172.24.21.152","28","3039581810","4156404837","false","true","false","false","20","true","false","4140"
"12","443","53131","208.80.154.224","172.24.21.152","38","3039581810","4156404837","false","true","false","true","20","true","false","4140"
"13","443","53131","208.80.154.224","172.24.21.152","39","3039581936","4156404837","false","true","false","false","20","true","false","4140"
"14","443","53131","208.80.154.224","172.24.21.152","40","3039582001","4156404837","false","true","false","false","20","true","false","4140"
"17","443","53131","208.80.154.224","172.24.21.152","51","3039582529","4156404961","false","true","false","false","20","true","false","4109"
"18","53131","443","172.24.21.152","208.80.154.224","51","4156404961","3039582529","false","true","false","false","20","false","true","62"
"19","53131","443","172.24.21.152","208.80.154.224","51","4156404961","3039582529","false","true","false","false","20","false","true","62"
"20","53131","443","172.24.21.152","208.80.154.224","55","4156406290","3039582529","false","true","false","false","20","false","true","62"
"21","443","53131","208.80.154.224","172.24.21.152","55","3039582529","4156407619","false","true","false","false","20","true","false","4140"
"22","53131","443","172.24.21.152","208.80.154.224","55","4156407619","3039582529","false","true","false","false","20","false","true","62"
"23","53131","443","172.24.21.152","208.80.154.224","55","4156408999","3039582529","false","true","false","false","20","false","true","62"
"24","443","53131","208.80.154.224","172.24.21.152","55","3039582529","4156410080","false","true","false","false","20","true","false","4140"
"25","53131","443","172.24.21.152","208.80.154.224","55","4156410080","3039582529","false","true","false","false","20","false","true","62"
"26","53131","443","172.24.21.152","208.80.154.224","55","4156411460","3039582529","false","true","false","false","20","false","true","62"
