"frame","dstport","srcport","destIP","srcIP","timestamp","seqNo","ackNo","isSyn","isAck","isFin","isTLS","length","fromClient","fromServer","windowSize"
"1","443","59726","172.217.1.69","172.24.19.141","1460921791565","2517721537","0","true","false","false","false","32","true","false","8192"
"2","59726","443","172.24.19.141","172.217.1.69","1460921791570","793242229","2517721538","true","true","false","false","32","false","true","42900"
"3","443","59726","172.217.1.69","172.24.19.141","1460921791570","2517721538","793242230","false","true","false","false","20","true","false","16560"
"4","443","59726","172.217.1.69","172.24.19.141","1460921791570","2517721538","793242230","false","true","false","true","20","true","false","16560"
"5","59726","443","172.24.19.141","172.217.1.69","1460921791576","793242230","2517721718","false","true","false","false","20","false","true","344"
"6","59726","443","172.24.19.141","172.217.1.69","1460921791579","793242230","2517721718","false","true","false","true","20","false","true","344"
"7","59726","443","172.24.19.141","172.217.1.69","1460921791579","793243610","2517721718","false","true","false","false","20","false","true","344"
"8","443","59726","172.217.1.69","172.24.19.141","1460921791579","2517721718","793244990","false","true","false","false","20","true","false","16560"
"9","59726","443","172.24.19.141","172.217.1.69","1460921791579","793244990","2517721718","false","true","false","false","20","false","true","344"
"10","443","59726","172.217.1.69","172.24.19.141","1460921791587","2517721718","793245749","false","true","false","true","20","true","false","16370"
"11","59726","443","172.24.19.141","172.217.1.69","1460921791593","793245749","2517721844","false","true","false","true","20","false","true","344"
"12","59726","443","172.24.19.141","172.217.1.69","1460921791593","793245995","2517721844","false","true","false","false","20","false","true","344"
"13","443","59726","172.217.1.69","172.24.19.141","1460921791593","2517721844","793246052","false","true","false","false","20","true","false","16294"
"14","59726","443","172.24.19.141","172.217.1.69","1460921791593","793246052","2517721844","false","true","false","false","20","false","true","344"
"15","443","59726","172.217.1.69","172.24.19.141","1460921791623","2517721844","793246097","false","true","false","false","20","true","false","16283"
"16","59726","443","172.24.19.141","172.217.1.69","1460921791671","793246097","2517721909","false","true","false","false","20","false","true","344"
"21","443","59726","172.217.1.69","172.24.19.141","1460921850198","2517721909","793246097","false","true","false","false","20","true","false","16283"
"22","59726","443","172.24.19.141","172.217.1.69","1460921850204","793246097","2517721950","false","true","false","false","20","false","true","344"
"23","59726","443","172.24.19.141","172.217.1.69","1460921850204","793246097","2517721950","false","true","false","false","20","false","true","344"
"24","443","59726","172.217.1.69","172.24.19.141","1460921850397","2517721950","793246138","false","true","false","false","20","true","false","16273"
"28","443","59726","172.217.1.69","172.24.19.141","1460921908203","2517721950","793246138","false","true","false","false","20","true","false","16273"
"29","59726","443","172.24.19.141","172.217.1.69","1460921908210","793246138","2517721991","false","true","false","false","20","false","true","344"
"30","443","59726","172.217.1.69","172.24.19.141","1460921908413","2517721991","793246179","false","true","false","false","20","true","false","16262"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
