frame,dstport,srcport,destIP,srcIP,replytime,timestamp,seqNo,ackNo,isSyn,isAck,isFin,isTLS,length,fromClient,fromServer,windowSize
1,443,51762,172.217.5.5,172.24.21.152,16,0,1531736902,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
3,51762,443,172.24.21.152,172.217.5.5,0,16,1679748757,1531736903,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
4,443,51762,172.217.5.5,172.24.21.152,34,16,1531736903,1679748758,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4140
7,443,51762,172.217.5.5,172.24.21.152,34,20,1531736903,1679748758,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,4140
9,51762,443,172.24.21.152,172.217.5.5,20,34,1679748758,1531737420,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,344
12,443,51762,172.217.5.5,172.24.21.152,40,35,1531737420,1679748916,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4100
14,51762,443,172.24.21.152,172.217.5.5,20,40,1679748758,1531737420,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,344
2,443,51763,172.217.5.5,172.24.21.152,20,13,1039349121,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
5,51763,443,172.24.21.152,172.217.5.5,13,20,6628612,1039349122,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
6,443,51763,172.217.5.5,172.24.21.152,34,20,1039349122,6628613,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4140
8,443,51763,172.217.5.5,172.24.21.152,34,21,1039349122,6628613,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,4140
10,51763,443,172.24.21.152,172.217.5.5,21,34,6628613,1039349639,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,344
11,443,51763,172.217.5.5,172.24.21.152,35,34,1039349639,6628771,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4100
13,51763,443,172.24.21.152,172.217.5.5,34,35,6628613,1039349639,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,344
108,443,51764,172.217.5.5,172.24.21.152,123,113,4011024982,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
154,51764,443,172.24.21.152,172.217.5.5,113,123,569594194,4011024983,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
155,443,51764,172.217.5.5,172.24.21.152,162,128,4011024983,569594195,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4140
170,443,51764,172.217.5.5,172.24.21.152,162,144,4011024983,569594195,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,4140
223,51764,443,172.24.21.152,172.217.5.5,144,157,569594195,4011025500,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,344
