frame,dstport,srcport,destIP,srcIP,replytime,timestamp,cid,seqNo,isChlo,isRej,SCID
1,443,50382,172.217.4.196,172.24.21.152,7,0,5B5182DE8D8A1E3F,1,TRUE,FALSE,null
2,50382,443,172.24.21.152,172.217.4.196,0,7,5B5182DE8D8A1E3F,1,FALSE,TRUE,F6558D60DE5F0D262CD6E966023A54BB
4,443,50382,172.217.4.196,172.24.21.152,23,14,5B5182DE8D8A1E3F,2,TRUE,FALSE,F6558D60DE5F0D262CD6E966023A54BB
5,50382,443,172.24.21.152,172.217.4.196,14,23,null,3,FALSE,FALSE,null
6,443,50382,172.217.4.196,172.24.21.152,63,27,5B5182DE8D8A1E3F,3,FALSE,FALSE,null
7,50382,443,172.24.21.152,172.217.4.196,27,63,null,4,FALSE,FALSE,null
839,443,61391,172.217.4.196,172.24.21.152,121,105,829161F25768CAB3,1,TRUE,FALSE,F6558D60DE5F0D262CD6E966023A54BB
840,443,61391,172.217.4.196,172.24.21.152,122,113,829161F25768CAB3,2,FALSE,FALSE,null
841,61391,443,172.24.21.152,172.217.4.196,105,121,null,1,FALSE,FALSE,null
842,61391,443,172.24.21.152,172.217.4.196,113,122,null,2,FALSE,FALSE,null
