frame,dstport,srcport,destIP,srcIP,replytime,timestamp,cid,seqNo,isChlo,isRej,SCID
1,443,60432,216.58.217.164,10.0.2.15,7,0,6ABFAD539CCAD8A7,1,TRUE,FALSE,null
2,60432,443,10.0.2.15,216.58.217.164,0,7,6ABFAD539CCAD8A7,1,FALSE,TRUE,274B2F800E1069E197A6691B6B876103
5,443,60432,216.58.217.164,10.0.2.15,35,7,6ABFAD539CCAD8A7,3,TRUE,FALSE,274B2F800E1069E197A6691B6B876103
6,60432,443,10.0.2.15,216.58.217.164,7,35,null,3,FALSE,FALSE,null
7,60432,443,10.0.2.15,216.58.217.164,7,54,null,4,FALSE,FALSE,null
8,443,60432,216.58.217.164,10.0.2.15,58,54,6ABFAD539CCAD8A7,4,FALSE,FALSE,null
9,60432,443,10.0.2.15,216.58.217.164,54,58,null,5,FALSE,FALSE,null
728,443,55622,216.58.217.164,10.0.2.15,118,100,9176A3703C44B5EB,1,TRUE,FALSE,274B2F800E1069E197A6691B6B876103
729,443,55622,216.58.217.164,10.0.2.15,118,102,9176A3703C44B5EB,2,FALSE,FALSE,null
730,443,55622,216.58.217.164,10.0.2.15,118,109,9176A3703C44B5EB,3,TRUE,FALSE,274B2F800E1069E197A6691B6B876103
731,55622,443,10.0.2.15,216.58.217.164,100,118,9176A3703C44B5EB,1,FALSE,FALSE,null
732,55622,443,10.0.2.15,216.58.217.164,109,118,null,2,FALSE,FALSE,null
