frame,dstport,srcport,destIP,srcIP,replytime,timestamp,cid,seqNo,isChlo,isRej,SCID
1,443,60555,172.217.4.196,172.24.21.152,10,0,1AC51132163AC0CE,1,TRUE,FALSE,null
2,60555,443,172.24.21.152,172.217.4.196,0,10,1AC51132163AC0CE,1,FALSE,TRUE,EB5D5C1EBF53135B563543E6B540071F
7,443,60555,172.217.4.196,172.24.21.152,59,51,1AC51132163AC0CE,4,TRUE,FALSE,EB5D5C1EBF53135B563543E6B540071F
8,443,60555,172.217.4.196,172.24.21.152,59,53,1AC51132163AC0CE,5,FALSE,FALSE,null
9,60555,443,172.24.21.152,172.217.4.196,51,59,null,4,FALSE,FALSE,null
10,60555,443,172.24.21.152,172.217.4.196,53,59,null,5,FALSE,FALSE,null
11,60555,443,172.24.21.152,172.217.4.196,53,59,null,6,FALSE,FALSE,null
378,443,60026,172.217.4.196,172.24.21.152,110,101,1AC51132163AC0CE,1,TRUE,FALSE,EB5D5C1EBF53135B563543E6B540071F
379,60026,443,172.24.21.152,172.217.4.196,101,110,null,1,FALSE,FALSE,null
380,60026,443,172.24.21.152,172.217.4.196,101,119,null,2,FALSE,FALSE,null
