frame,dstport,srcport,destIP,srcIP,replytime,timestamp,seqNo,ackNo,isSyn,isAck,isFin,isTLS,length,fromClient,fromServer,windowSize
1,443,52407,31.13.80.36,172.24.21.152,20,0,4278024210,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
2,52407,443,172.24.21.152,31.13.80.36,0,20,2164826519,4278024211,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,14100
3,443,52407,31.13.80.36,172.24.21.152,39,20,4278024211,2164826520,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
4,443,52407,31.13.80.36,172.24.21.152,39,20,4278024211,2164826520,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,16560
5,52407,443,172.24.21.152,31.13.80.36,20,39,2164826520,4278024401,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,60
6,52407,443,172.24.21.152,31.13.80.36,20,40,2164826520,4278024401,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,60
435,443,52427,31.13.80.36,172.24.21.152,89,84,1234562006,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
436,52427,443,172.24.21.152,31.13.80.36,84,89,838880460,1234562007,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,14100
437,443,52427,31.13.80.36,172.24.21.152,109,96,1234562007,838880461,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4140
438,443,52427,31.13.80.36,172.24.21.152,117,104,1234562007,838880461,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,4140
439,52427,443,172.24.21.152,31.13.80.36,96,109,838880461,1234562524,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,60
440,52427,443,172.24.21.152,31.13.80.36,104,117,838880461,1234562524,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,60
