frame,dstport,srcport,destIP,srcIP,replytime,timestamp,seqNo,ackNo,isSyn,isAck,isFin,isTLS,length,fromClient,fromServer,windowSize
1,443,53163,172.217.5.5,172.24.21.152,5,0,2166944440,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
2,53163,443,172.24.21.152,172.217.5.5,0,5,28942859,2166944441,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
3,443,53163,172.217.5.5,172.24.21.152,12,5,2166944441,28942860,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4140
4,443,53163,172.217.5.5,172.24.21.152,16,5,2166944441,28942860,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,4140
5,53163,443,172.24.21.152,172.217.5.5,5,12,28942860,2166944624,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,344
6,53163,443,172.24.21.152,172.217.5.5,5,16,28942860,2166944624,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,344
26,443,53165,172.217.5.5,172.24.21.152,96,90,1325924108,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
27,53165,443,172.24.21.152,172.217.5.5,90,96,869563035,1325924109,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
28,443,53165,172.217.5.5,172.24.21.152,105,96,1325924109,869563036,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4140
29,443,53165,172.217.5.5,172.24.21.152,105,96,1325924109,869563036,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,4140
30,53165,443,172.24.21.152,172.217.5.5,96,105,869563036,1325924298,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,344
