frame,dstport,srcport,destIP,srcIP,replytime,timestamp,seqNo,ackNo,isSyn,isAck,isFin,isTLS,length,fromClient,fromServer,windowSize
7,443,54201,172.217.5.4,172.24.21.152,8,0,4122855394,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
8,54201,443,172.24.21.152,172.217.5.4,0,8,3820527583,4122855395,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
9,443,54201,172.217.5.4,172.24.21.152,19,8,4122855395,3820527584,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4140
10,443,54201,172.217.5.4,172.24.21.152,19,8,4122855395,3820527584,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,4140
12,54201,443,172.24.21.152,172.217.5.4,8,19,3820527584,4122855583,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,344
14,443,54201,172.217.5.4,172.24.21.152,28,22,4122855583,3820530344,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,4140
16,443,54201,172.217.5.4,172.24.21.152,28,24,4122855583,3820531094,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,3952
20,54201,443,172.24.21.152,172.217.5.4,24,28,3820531094,4122856492,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,362
417,443,54212,172.217.5.4,172.24.21.152,69,65,609477151,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
418,54212,443,172.24.21.152,172.217.5.4,65,69,285743524,609477152,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
419,443,54212,172.217.5.4,172.24.21.152,86,69,609477152,285743525,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
420,443,54212,172.217.5.4,172.24.21.152,86,79,609477152,285743525,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,16560
422,54212,443,172.24.21.152,172.217.5.4,79,86,285743525,609477669,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,344
