frame,dstport,srcport,destIP,srcIP,replytime,timestamp,seqNo,ackNo,isSyn,isAck,isFin,isTLS,length,fromClient,fromServer,windowSize
1,80,51056,172.217.5.4,172.24.21.152,5,0,3490925763,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
2,51056,80,172.24.21.152,172.217.5.4,0,5,2469881899,3490925764,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
3,80,51056,172.217.5.4,172.24.21.152,11,5,3490925764,2469881900,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
4,80,51056,172.217.5.4,172.24.21.152,11,5,3490925764,2469881900,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
5,51056,80,172.24.21.152,172.217.5.4,5,11,2469881900,3490926703,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,350
25,80,51056,172.217.5.4,172.24.21.152,18,11,3490926703,2469882396,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16436
42,51056,80,172.24.21.152,172.217.5.4,11,18,2469881900,3490926703,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,350
7,443,51058,172.217.5.4,172.24.21.152,7,3,279360882,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
8,51058,443,172.24.21.152,172.217.5.4,3,7,14449435,279360883,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
9,443,51058,172.217.5.4,172.24.21.152,16,7,279360883,14449436,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
10,443,51058,172.217.5.4,172.24.21.152,16,7,279360883,14449436,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
11,51058,443,172.24.21.152,172.217.5.4,7,16,14449436,279361059,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,344
187,443,51068,172.217.5.4,172.24.21.152,50,45,471602825,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
212,51068,443,172.24.21.152,172.217.5.4,45,50,2097771229,471602826,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,42900
213,443,51068,172.217.5.4,172.24.21.152,57,50,471602826,2097771230,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
226,443,51068,172.217.5.4,172.24.21.152,57,50,471602826,2097771230,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
230,51068,443,172.24.21.152,172.217.5.4,50,57,2097771230,471603343,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,344
